type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,p95_ms,avg_ms,p99_ms,cpu_avg_percent,cpu_min_percent,cpu_max_percent,cpu_warning,run,config,source_file
read,419.2,468.6,101.3,210.3,233.7,326.5,369.6,400.4,432.2,494.9,625.6,914.8,2096.2,7736.4,10024.7,5006.4,5000.0,0.9148,0.41919999999999996,2.0961999999999996,66.6,0.5,100.0,True,run1,no-ibench,part1-experiments/run1/no-ibench.txt
read,345.2,134.6,93.8,206.1,235.6,338.6,376.6,397.0,411.9,429.9,453.7,490.5,586.8,1342.3,7092.9,9942.4,10000.0,0.4905,0.3452,0.5868,66.6,0.5,100.0,True,run1,no-ibench,part1-experiments/run1/no-ibench.txt
read,346.8,130.6,86.8,174.2,206.2,343.5,389.4,413.9,431.8,453.9,481.2,524.9,623.9,1013.9,3918.6,15014.4,15000.0,0.5248999999999999,0.3468,0.6239,66.6,0.5,100.0,True,run1,no-ibench,part1-experiments/run1/no-ibench.txt
read,366.5,147.0,86.8,170.1,199.9,364.0,417.1,445.3,464.9,489.2,519.4,568.2,678.9,1534.6,4395.9,20060.0,20000.0,0.5682,0.3665,0.6789,66.6,0.5,100.0,True,run1,no-ibench,part1-experiments/run1/no-ibench.txt
read,376.0,169.0,86.8,162.0,189.2,368.3,429.5,462.4,486.6,514.4,550.1,610.3,770.1,1910.6,3112.8,24980.0,25000.0,0.6103,0.376,0.7701,66.6,0.5,100.0,True,run1,no-ibench,part1-experiments/run1/no-ibench.txt
read,373.2,175.2,86.8,160.7,184.7,362.5,430.8,466.8,493.4,524.0,562.3,621.6,760.9,1759.6,4542.9,29863.2,30000.0,0.6216,0.3732,0.7609,66.6,0.5,100.0,True,run1,no-ibench,part1-experiments/run1/no-ibench.txt
read,393.8,207.3,86.8,155.6,183.3,373.3,448.6,490.9,521.4,557.2,604.2,681.1,933.5,2223.5,5376.4,34794.4,35000.0,0.6811,0.39380000000000004,0.9335,66.6,0.5,100.0,True,run1,no-ibench,part1-experiments/run1/no-ibench.txt
read,418.4,228.6,86.8,162.6,192.8,388.0,474.5,524.7,559.7,600.8,655.8,748.2,1045.4,2079.2,7220.0,40129.2,40000.0,0.7482000000000001,0.4184,1.0454,66.6,0.5,100.0,True,run1,no-ibench,part1-experiments/run1/no-ibench.txt
read,918.1,700.2,93.8,239.3,310.5,831.7,1098.1,1199.9,1268.9,1359.9,1489.6,1800.9,2712.6,7994.9,9414.7,44952.3,45000.0,1.8009000000000002,0.9181,2.7126,66.6,0.5,100.0,True,run1,no-ibench,part1-experiments/run1/no-ibench.txt
read,1489.9,848.9,118.1,1040.5,1101.2,1283.4,1407.6,1491.0,1566.1,1670.3,1984.3,2534.2,7484.4,8814.1,11644.6,46390.4,50000.0,2.5342,1.4899,7.4844,66.6,0.5,100.0,True,run1,no-ibench,part1-experiments/run1/no-ibench.txt
read,1537.9,884.9,118.1,1060.6,1116.7,1330.1,1452.8,1540.2,1609.0,1717.7,2027.9,2611.5,7607.8,8943.5,12420.0,45401.8,55000.0,2.6115,1.5379,7.6078,66.6,0.5,100.0,True,run1,no-ibench,part1-experiments/run1/no-ibench.txt
read,1479.8,826.7,321.2,1031.3,1077.8,1273.0,1396.8,1486.2,1564.6,1679.2,2065.4,2517.0,7350.9,8130.2,10246.7,46846.4,60000.0,2.517,1.4798,7.350899999999999,66.6,0.5,100.0,True,run1,no-ibench,part1-experiments/run1/no-ibench.txt
read,1503.9,846.2,187.4,1036.3,1088.4,1297.5,1426.6,1513.3,1592.4,1710.7,2094.8,2562.6,7484.9,8723.9,11191.3,46134.3,65000.0,2.5625999999999998,1.5039,7.4849,66.6,0.5,100.0,True,run1,no-ibench,part1-experiments/run1/no-ibench.txt
read,1481.3,840.8,137.8,1032.3,1081.1,1273.2,1386.6,1478.2,1558.1,1677.3,2064.3,2522.3,7438.8,8136.9,10904.9,46925.4,70000.0,2.5223,1.4813,7.4388000000000005,66.6,0.5,100.0,True,run1,no-ibench,part1-experiments/run1/no-ibench.txt
read,1494.9,861.9,101.3,1022.4,1068.5,1285.7,1413.7,1503.1,1588.4,1712.4,2048.0,2522.0,7558.9,8129.1,10844.1,46616.4,75000.0,2.522,1.4949000000000001,7.5588999999999995,66.6,0.5,100.0,True,run1,no-ibench,part1-experiments/run1/no-ibench.txt
read,1487.8,847.7,118.1,1029.4,1076.4,1278.3,1400.9,1493.2,1580.6,1701.6,2054.6,2509.8,7501.3,8596.0,11010.5,46751.8,80000.0,2.5098000000000003,1.4878,7.5013000000000005,66.6,0.5,100.0,True,run1,no-ibench,part1-experiments/run1/no-ibench.txt
read,403.4,569.4,93.8,177.5,194.2,270.7,310.9,338.4,364.1,415.4,645.2,1218.0,2177.4,7969.9,10190.3,4989.8,5000.0,1.218,0.4034,2.1774,66.63,1.0,100.0,True,run1,ibench-cpu,part1-experiments/run1/ibench-cpu.txt
read,424.9,468.6,93.8,173.8,196.2,296.5,344.7,380.7,419.1,507.6,899.6,1251.3,2135.5,7289.2,9141.7,10002.0,10000.0,1.2512999999999999,0.4249,2.1355,66.63,1.0,100.0,True,run1,ibench-cpu,part1-experiments/run1/ibench-cpu.txt
read,515.4,541.4,86.8,168.9,196.4,336.3,407.4,473.9,582.2,1003.7,1249.4,1443.7,2286.9,7461.7,8314.2,14924.4,15000.0,1.4437,0.5154,2.2869,66.63,1.0,100.0,True,run1,ibench-cpu,part1-experiments/run1/ibench-cpu.txt
read,637.1,629.0,86.8,172.0,205.0,397.0,539.9,735.6,1123.1,1282.4,1413.9,1718.6,2465.3,7461.3,9110.9,19970.1,20000.0,1.7186,0.6371,2.4653,66.63,1.0,100.0,True,run1,ibench-cpu,part1-experiments/run1/ibench-cpu.txt
read,2762.0,1589.1,93.8,882.8,999.2,3066.1,3278.5,3418.8,3534.3,3782.7,4212.1,5440.5,7979.0,9901.3,14319.3,24701.1,25000.0,5.4405,2.762,7.979,66.63,1.0,100.0,True,run1,ibench-cpu,part1-experiments/run1/ibench-cpu.txt
read,2924.9,1576.3,218.6,984.0,1082.8,3148.6,3370.1,3483.3,3647.7,3895.1,4340.4,5780.8,8004.7,9728.4,12783.6,24211.2,30000.0,5.7808,2.9249,8.0047,66.63,1.0,100.0,True,run1,ibench-cpu,part1-experiments/run1/ibench-cpu.txt
read,2836.4,1600.4,118.1,959.9,1045.1,3095.3,3300.0,3437.1,3580.6,3862.4,4278.0,5500.4,8001.1,12177.0,15792.0,25142.4,35000.0,5.5004,2.8364000000000003,8.001100000000001,66.63,1.0,100.0,True,run1,ibench-cpu,part1-experiments/run1/ibench-cpu.txt
read,2894.4,1587.2,109.4,984.8,1081.7,3135.9,3344.3,3453.8,3590.1,3846.1,4290.0,5524.1,8019.9,12088.8,14972.7,24600.8,40000.0,5.524100000000001,2.8944,8.0199,66.63,1.0,100.0,True,run1,ibench-cpu,part1-experiments/run1/ibench-cpu.txt
read,2885.7,1596.2,137.8,963.8,1051.5,3116.4,3333.3,3466.9,3647.4,3945.1,4340.7,5683.9,7997.4,9985.0,14481.4,24644.4,45000.0,5.6838999999999995,2.8857,7.9974,66.63,1.0,100.0,True,run1,ibench-cpu,part1-experiments/run1/ibench-cpu.txt
read,2862.2,1573.2,118.1,966.3,1060.1,3115.7,3317.6,3436.3,3557.3,3832.8,4263.8,5556.9,8002.4,10040.5,14539.4,24826.2,50000.0,5.5569,2.8621999999999996,8.0024,66.63,1.0,100.0,True,run1,ibench-cpu,part1-experiments/run1/ibench-cpu.txt
read,2913.1,1573.9,218.6,1012.2,1102.5,3142.7,3351.8,3461.8,3599.4,3814.4,4291.1,5652.0,8010.1,9934.1,14784.1,24517.2,55000.0,5.652,2.9131,8.0101,66.63,1.0,100.0,True,run1,ibench-cpu,part1-experiments/run1/ibench-cpu.txt
read,2859.4,1566.8,137.8,974.8,1065.5,3113.6,3321.4,3446.3,3591.0,3866.3,4274.9,5520.7,7977.4,9651.3,12998.0,24887.0,60000.0,5.5207,2.8594,7.977399999999999,66.63,1.0,100.0,True,run1,ibench-cpu,part1-experiments/run1/ibench-cpu.txt
read,2886.4,1567.9,202.4,978.2,1078.1,3132.0,3334.9,3446.5,3574.4,3834.9,4288.9,5663.2,7987.5,9536.5,12712.3,24678.8,65000.0,5.6632,2.8864,7.9875,66.63,1.0,100.0,True,run1,ibench-cpu,part1-experiments/run1/ibench-cpu.txt
read,2857.2,1592.3,137.8,971.3,1060.1,3105.8,3304.0,3433.5,3568.3,3885.6,4312.8,5619.6,7998.0,9903.7,14639.3,24970.0,70000.0,5.6196,2.8571999999999997,7.998,66.63,1.0,100.0,True,run1,ibench-cpu,part1-experiments/run1/ibench-cpu.txt
read,2844.9,1592.2,218.6,962.5,1053.6,3100.1,3294.9,3426.5,3552.4,3864.6,4286.3,5535.4,8013.1,10148.8,14216.4,25041.8,75000.0,5.535399999999999,2.8449,8.0131,66.63,1.0,100.0,True,run1,ibench-cpu,part1-experiments/run1/ibench-cpu.txt
read,2881.2,1583.8,173.5,966.6,1061.5,3122.8,3331.1,3449.6,3588.1,3845.4,4287.1,5551.3,8013.4,10180.0,13785.8,24740.4,80000.0,5.5513,2.8811999999999998,8.013399999999999,66.63,1.0,100.0,True,run1,ibench-cpu,part1-experiments/run1/ibench-cpu.txt
read,478.5,616.7,101.3,200.4,219.9,319.1,381.0,443.5,521.7,653.9,860.2,1269.0,2533.7,7947.7,10016.3,4985.6,5000.0,1.269,0.4785,2.5336999999999996,66.46,1.01,100.0,True,run1,ibench-l1d,part1-experiments/run1/ibench-l1d.txt
read,324.8,105.0,93.8,185.6,212.6,317.2,356.9,378.9,396.1,416.3,440.9,483.3,585.3,871.7,2467.2,10075.4,10000.0,0.4833,0.32480000000000003,0.5852999999999999,66.46,1.01,100.0,True,run1,ibench-l1d,part1-experiments/run1/ibench-l1d.txt
read,334.7,119.0,93.8,172.8,199.9,328.9,374.8,399.6,417.9,437.8,466.2,509.3,612.3,1122.4,3187.3,15000.8,15000.0,0.5093,0.3347,0.6123,66.46,1.01,100.0,True,run1,ibench-l1d,part1-experiments/run1/ibench-l1d.txt
read,373.9,375.5,93.8,165.6,190.8,343.4,397.6,427.3,449.0,473.6,507.9,570.0,1171.3,5827.1,11962.5,19950.8,20000.0,0.57,0.37389999999999995,1.1713,66.46,1.01,100.0,True,run1,ibench-l1d,part1-experiments/run1/ibench-l1d.txt
read,373.2,163.8,86.8,165.8,190.9,364.2,426.7,461.0,486.3,515.7,552.9,615.8,748.2,1492.9,3574.1,25013.6,25000.0,0.6157999999999999,0.3732,0.7482000000000001,66.46,1.01,100.0,True,run1,ibench-l1d,part1-experiments/run1/ibench-l1d.txt
read,395.7,188.2,86.8,167.0,194.7,377.0,449.5,490.2,519.8,554.0,599.5,677.9,928.9,1732.7,4510.4,30071.8,30000.0,0.6779,0.3957,0.9289,66.46,1.01,100.0,True,run1,ibench-l1d,part1-experiments/run1/ibench-l1d.txt
read,756.8,750.6,93.8,189.4,229.8,513.3,724.8,965.0,1170.5,1368.5,1575.8,1889.8,3068.2,8013.5,10387.4,35016.8,35000.0,1.8898,0.7567999999999999,3.0682,66.46,1.01,100.0,True,run1,ibench-l1d,part1-experiments/run1/ibench-l1d.txt
read,1978.3,1062.2,93.8,1234.1,1338.2,1773.1,1917.7,2011.7,2098.0,2209.3,2459.5,3365.4,7855.1,9722.8,12405.5,35734.2,40000.0,3.3654,1.9783,7.8551,66.46,1.01,100.0,True,run1,ibench-l1d,part1-experiments/run1/ibench-l1d.txt
read,1963.9,1080.0,160.7,1228.7,1329.1,1739.0,1885.6,1994.6,2084.2,2214.4,2477.6,3316.2,7858.5,9944.2,14960.2,36206.2,45000.0,3.3162,1.9639000000000002,7.8585,66.46,1.01,100.0,True,run1,ibench-l1d,part1-experiments/run1/ibench-l1d.txt
read,1912.2,1068.2,137.8,1172.6,1277.7,1701.7,1850.3,1952.9,2032.5,2165.8,2438.0,3279.2,7849.1,9953.8,14208.0,37038.8,50000.0,3.2792,1.9122000000000001,7.8491,66.46,1.01,100.0,True,run1,ibench-l1d,part1-experiments/run1/ibench-l1d.txt
read,2086.7,1101.4,173.5,1290.0,1404.9,1855.5,2020.5,2136.2,2224.0,2356.0,2604.5,3576.9,7889.0,9716.6,12497.2,34126.2,55000.0,3.5769,2.0867,7.889,66.46,1.01,100.0,True,run1,ibench-l1d,part1-experiments/run1/ibench-l1d.txt
read,2070.8,1138.1,374.7,1244.8,1366.7,1832.7,2013.6,2134.9,2227.3,2360.2,2641.2,3555.3,7901.4,10272.9,16901.0,34493.2,60000.0,3.5553000000000003,2.0708,7.9014,66.46,1.01,100.0,True,run1,ibench-l1d,part1-experiments/run1/ibench-l1d.txt
read,2045.6,1079.8,173.5,1285.1,1395.7,1821.3,1979.9,2080.2,2166.3,2294.0,2544.6,3485.6,7878.7,9589.6,12330.2,34813.2,65000.0,3.4856,2.0456,7.8787,66.46,1.01,100.0,True,run1,ibench-l1d,part1-experiments/run1/ibench-l1d.txt
read,2068.7,1096.7,160.7,1255.1,1369.4,1836.9,2015.2,2134.9,2225.3,2353.9,2629.9,3601.2,7881.4,9337.4,11777.4,34461.2,70000.0,3.6012,2.0686999999999998,7.881399999999999,66.46,1.01,100.0,True,run1,ibench-l1d,part1-experiments/run1/ibench-l1d.txt
read,2105.7,1108.2,374.7,1308.3,1417.8,1869.1,2045.3,2164.0,2259.3,2374.4,2640.0,3611.0,7902.2,9841.5,12881.0,33894.7,75000.0,3.611,2.1056999999999997,7.9022,66.46,1.01,100.0,True,run1,ibench-l1d,part1-experiments/run1/ibench-l1d.txt
read,2062.2,1088.3,137.8,1259.6,1375.4,1834.8,2012.4,2129.2,2214.1,2343.9,2603.5,3559.6,7868.0,9483.4,13108.4,34508.6,80000.0,3.5596,2.0622,7.868,66.46,1.01,100.0,True,run1,ibench-l1d,part1-experiments/run1/ibench-l1d.txt
read,456.5,746.8,93.8,188.5,205.3,277.7,315.1,341.7,366.9,415.8,1106.9,1380.6,2332.8,8089.8,15523.1,4959.4,5000.0,1.3805999999999998,0.4565,2.3328,67.14,0.5,100.0,True,run1,ibench-l1i,part1-experiments/run1/ibench-l1i.txt
read,514.8,596.9,93.8,182.0,207.0,319.7,379.3,431.1,505.7,1101.7,1254.6,1479.3,2329.7,7693.1,8963.0,10035.0,10000.0,1.4793,0.5147999999999999,2.3297,67.14,0.5,100.0,True,run1,ibench-l1i,part1-experiments/run1/ibench-l1i.txt
read,584.9,617.5,93.8,169.1,203.7,363.9,457.3,561.0,799.9,1238.0,1357.2,1602.0,2366.2,7523.7,9339.1,15073.2,15000.0,1.602,0.5849,2.3661999999999996,67.14,0.5,100.0,True,run1,ibench-l1i,part1-experiments/run1/ibench-l1i.txt
read,679.4,678.6,93.8,175.0,208.4,415.5,591.0,859.7,1236.4,1346.4,1472.8,1784.1,2513.5,7720.6,10257.3,19957.8,20000.0,1.7841,0.6794,2.5135,67.14,0.5,100.0,True,run1,ibench-l1i,part1-experiments/run1/ibench-l1i.txt
read,3157.2,1648.4,109.4,1027.7,1149.8,3307.7,3527.3,3699.7,3851.1,4100.1,4739.8,6706.8,8064.8,10125.2,13935.2,22296.4,25000.0,6.7068,3.1572,8.0648,67.14,0.5,100.0,True,run1,ibench-l1i,part1-experiments/run1/ibench-l1i.txt
read,3088.6,1607.4,137.8,1046.4,1146.7,3265.8,3455.2,3613.8,3741.7,4027.0,4559.9,6332.8,8042.0,10466.4,14505.9,23039.0,30000.0,6.3328,3.0886,8.042,67.14,0.5,100.0,True,run1,ibench-l1i,part1-experiments/run1/ibench-l1i.txt
read,3028.5,1604.3,173.5,1037.3,1132.5,3235.3,3424.1,3549.5,3695.9,3996.5,4514.1,6089.4,8023.3,10115.2,13891.1,23570.8,35000.0,6.0893999999999995,3.0285,8.0233,67.14,0.5,100.0,True,run1,ibench-l1i,part1-experiments/run1/ibench-l1i.txt
read,2968.8,1615.9,127.6,1011.4,1102.0,3183.7,3387.7,3482.6,3652.5,3940.2,4372.8,5989.4,8033.1,11782.2,15046.4,24039.2,40000.0,5.9894,2.9688000000000003,8.033100000000001,67.14,0.5,100.0,True,run1,ibench-l1i,part1-experiments/run1/ibench-l1i.txt
read,3013.6,1589.8,275.4,1021.9,1117.6,3220.6,3417.3,3538.8,3688.6,3964.1,4439.2,6092.2,8024.3,9902.8,11852.0,23692.8,45000.0,6.0922,3.0136,8.0243,67.14,0.5,100.0,True,run1,ibench-l1i,part1-experiments/run1/ibench-l1i.txt
read,3061.6,1621.9,148.8,1011.0,1117.5,3243.7,3441.3,3596.1,3736.7,4045.8,4576.2,6332.7,8037.2,10100.6,14897.8,23297.2,50000.0,6.3327,3.0616,8.0372,67.14,0.5,100.0,True,run1,ibench-l1i,part1-experiments/run1/ibench-l1i.txt
read,3148.6,1623.2,236.1,1053.5,1154.6,3291.6,3498.3,3681.1,3830.9,4128.1,4701.3,6569.0,8045.2,10129.8,14093.2,22708.8,55000.0,6.569,3.1486,8.0452,67.14,0.5,100.0,True,run1,ibench-l1i,part1-experiments/run1/ibench-l1i.txt
read,2937.8,1590.9,137.8,975.0,1069.9,3159.5,3378.2,3486.6,3685.5,4000.6,4374.8,5844.1,7998.9,9905.2,12267.6,24195.8,60000.0,5.8441,2.9378,7.9989,67.14,0.5,100.0,True,run1,ibench-l1i,part1-experiments/run1/ibench-l1i.txt
read,3021.9,1614.4,187.4,1057.7,1142.8,3229.3,3404.4,3486.5,3637.2,3876.5,4424.4,5990.5,8051.3,13214.0,15502.1,23668.4,65000.0,5.9905,3.0219,8.0513,67.14,0.5,100.0,True,run1,ibench-l1i,part1-experiments/run1/ibench-l1i.txt
read,3094.0,1609.2,187.4,1057.8,1152.2,3271.0,3451.4,3601.3,3730.1,4033.7,4597.4,6365.5,8039.2,10401.7,14457.0,23077.0,70000.0,6.3655,3.094,8.0392,67.14,0.5,100.0,True,run1,ibench-l1i,part1-experiments/run1/ibench-l1i.txt
read,2899.6,1585.6,160.7,977.9,1068.0,3141.4,3343.5,3451.9,3597.3,3910.6,4318.4,5670.1,8005.5,10065.3,13733.6,24588.4,75000.0,5.670100000000001,2.8996,8.0055,67.14,0.5,100.0,True,run1,ibench-l1i,part1-experiments/run1/ibench-l1i.txt
read,2999.3,1619.0,173.5,1021.4,1111.0,3194.6,3395.2,3488.3,3674.7,3983.4,4413.8,6331.8,8032.1,10224.7,15885.0,23835.4,80000.0,6.3318,2.9993000000000003,8.0321,67.14,0.5,100.0,True,run1,ibench-l1i,part1-experiments/run1/ibench-l1i.txt
read,312.6,113.1,109.4,203.2,221.9,301.4,335.0,354.1,368.0,385.4,407.6,450.3,552.6,1238.5,4838.1,5063.6,5000.0,0.45030000000000003,0.31260000000000004,0.5526,66.76,1.0,100.0,True,run1,ibench-l2,part1-experiments/run1/ibench-l2.txt
read,341.1,120.6,101.3,192.7,222.2,333.6,375.3,398.5,415.8,435.1,462.2,503.9,601.1,1330.0,3846.0,9984.8,10000.0,0.5039,0.3411,0.6011,66.76,1.0,100.0,True,run1,ibench-l2,part1-experiments/run1/ibench-l2.txt
read,357.4,124.1,93.8,177.6,208.9,354.0,402.0,428.8,448.2,470.0,499.9,545.3,650.4,937.4,3045.5,14913.8,15000.0,0.5453,0.3574,0.6504,66.76,1.0,100.0,True,run1,ibench-l2,part1-experiments/run1/ibench-l2.txt
read,378.4,147.7,86.8,170.5,198.9,376.3,432.9,463.2,485.5,510.7,544.8,597.4,722.7,1465.8,3676.2,20015.8,20000.0,0.5973999999999999,0.37839999999999996,0.7227,66.76,1.0,100.0,True,run1,ibench-l2,part1-experiments/run1/ibench-l2.txt
read,402.1,226.1,86.8,171.1,197.6,384.9,452.5,488.9,515.0,547.2,590.0,662.5,981.8,2604.9,7279.5,25037.6,25000.0,0.6625,0.4021,0.9818,66.76,1.0,100.0,True,run1,ibench-l2,part1-experiments/run1/ibench-l2.txt
read,411.7,187.9,93.8,175.3,202.8,394.7,470.1,511.6,542.5,579.0,626.0,704.2,930.6,1565.3,4074.1,29969.4,30000.0,0.7042,0.4117,0.9306,66.76,1.0,100.0,True,run1,ibench-l2,part1-experiments/run1/ibench-l2.txt
read,934.7,905.8,93.8,199.8,248.5,597.4,1073.6,1386.2,1545.0,1698.5,1866.5,2174.7,3739.5,8082.0,10672.1,34934.4,35000.0,2.1746999999999996,0.9347000000000001,3.7395,66.76,1.0,100.0,True,run1,ibench-l2,part1-experiments/run1/ibench-l2.txt
read,1995.1,1069.1,127.6,1230.7,1340.0,1781.7,1936.0,2033.7,2132.0,2256.5,2499.5,3415.9,7857.9,9397.9,11867.6,35445.1,40000.0,3.4159,1.9950999999999999,7.8579,66.76,1.0,100.0,True,run1,ibench-l2,part1-experiments/run1/ibench-l2.txt
read,2010.8,1070.9,160.7,1253.5,1361.4,1796.6,1945.7,2031.8,2123.2,2237.5,2498.3,3439.0,7865.7,9144.9,11500.9,35379.0,45000.0,3.439,2.0108,7.8656999999999995,66.76,1.0,100.0,True,run1,ibench-l2,part1-experiments/run1/ibench-l2.txt
read,1991.5,1065.0,148.8,1225.0,1332.4,1772.2,1930.0,2031.0,2130.9,2261.5,2515.6,3407.2,7854.4,8989.6,12256.5,35647.6,50000.0,3.4072,1.9915,7.8544,66.76,1.0,100.0,True,run1,ibench-l2,part1-experiments/run1/ibench-l2.txt
read,2001.0,1084.9,218.6,1213.5,1320.0,1783.4,1960.8,2068.6,2160.2,2291.8,2535.5,3441.5,7867.1,9415.3,12587.2,35557.4,55000.0,3.4415,2.001,7.867100000000001,66.76,1.0,100.0,True,run1,ibench-l2,part1-experiments/run1/ibench-l2.txt
read,2076.1,1091.8,137.8,1293.8,1401.3,1856.2,2016.7,2127.3,2205.9,2333.0,2557.7,3569.3,7882.3,9791.3,14852.3,34287.6,60000.0,3.5693,2.0761,7.8823,66.76,1.0,100.0,True,run1,ibench-l2,part1-experiments/run1/ibench-l2.txt
read,2081.0,1122.9,148.8,1300.0,1405.1,1844.4,2010.6,2125.9,2211.3,2343.0,2576.2,3572.1,7900.3,10145.7,15944.9,34318.4,65000.0,3.5721,2.081,7.9003000000000005,66.76,1.0,100.0,True,run1,ibench-l2,part1-experiments/run1/ibench-l2.txt
read,2044.9,1104.0,148.8,1234.1,1351.5,1824.3,1996.4,2109.9,2194.1,2327.9,2560.1,3516.9,7887.6,9930.5,13740.9,34834.4,70000.0,3.5169,2.0449,7.8876,66.76,1.0,100.0,True,run1,ibench-l2,part1-experiments/run1/ibench-l2.txt
read,2074.7,1092.0,160.7,1284.9,1395.7,1847.2,2017.5,2130.7,2211.6,2340.0,2582.5,3556.6,7879.3,9697.1,12726.8,34323.2,75000.0,3.5566,2.0747,7.8793,66.76,1.0,100.0,True,run1,ibench-l2,part1-experiments/run1/ibench-l2.txt
read,1972.6,1061.7,187.4,1225.9,1330.9,1759.1,1909.1,2009.9,2097.6,2207.4,2453.2,3356.8,7857.9,9709.9,13226.0,35996.8,80000.0,3.3568000000000002,1.9726,7.8579,66.76,1.0,100.0,True,run1,ibench-l2,part1-experiments/run1/ibench-l2.txt
read,355.9,176.7,127.6,229.2,250.7,330.7,365.7,387.7,403.6,426.3,456.5,509.1,924.9,2299.1,7124.2,4952.4,5000.0,0.5091,0.3559,0.9248999999999999,66.43,1.01,100.0,True,run1,ibench-llc,part1-experiments/run1/ibench-llc.txt
