benchmark,interference,execution_time_s,success
barnes,baseline,152.83100000000002,True
blackscholes,baseline,0.894,True
canneal,baseline,14.093,True
freqmine,baseline,8.843,True
radix,baseline,64.055,True
streamcluster,baseline,15.067,True
vips,baseline,142.602,True
barnes,ibench-cpu,220.799,True
blackscholes,ibench-cpu,1.135,True
canneal,ibench-cpu,13.426,True
freqmine,ibench-cpu,14.004,True
radix,ibench-cpu,66.813,True
streamcluster,ibench-cpu,18.729,True
vips,ibench-cpu,197.556,True
barnes,ibench-l1d,256.591,True
blackscholes,ibench-l1d,1.183,True
canneal,ibench-l1d,18.67,True
freqmine,ibench-l1d,9.36,True
radix,ibench-l1d,81.39699999999999,True
streamcluster,ibench-l1d,16.166,True
vips,ibench-l1d,209.047,True
barnes,ibench-l1i,299.549,True
blackscholes,ibench-l1i,1.376,True
canneal,ibench-l1i,16.214,True
freqmine,ibench-l1i,13.867,True
radix,ibench-l1i,72.891,True
streamcluster,ibench-l1i,16.839,True
vips,ibench-l1i,212.33100000000002,True
barnes,ibench-l2,263.627,True
blackscholes,ibench-l2,1.22,True
canneal,ibench-l2,16.293,True
freqmine,ibench-l2,8.895,True
radix,ibench-l2,80.084,True
streamcluster,ibench-l2,15.219,True
vips,ibench-l2,210.944,True
barnes,ibench-llc,365.431,True
blackscholes,ibench-llc,1.28,True
canneal,ibench-llc,20.645,True
freqmine,ibench-llc,11.851,True
radix,ibench-llc,102.27600000000001,True
streamcluster,ibench-llc,20.411,True
vips,ibench-llc,236.437,True
barnes,ibench-membw,279.765,True
blackscholes,ibench-membw,1.165,True
canneal,ibench-membw,14.749,True
freqmine,ibench-membw,10.555,True
radix,ibench-membw,73.092,True
streamcluster,ibench-membw,14.387,True
vips,ibench-membw,195.501,True
