benchmark,threads,execution_time_s,success
barnes,1,124.983,True
barnes,2,58.808,True
barnes,4,30.844,True
barnes,8,23.785,True
blackscholes,1,64.681,True
blackscholes,2,38.67,True
blackscholes,4,24.989,True
blackscholes,8,21.322,True
canneal,1,283.308,True
canneal,2,183.512,True
canneal,4,140.189,True
canneal,8,95.607,True
freqmine,1,347.96500000000003,True
freqmine,2,172.098,True
freqmine,4,88.60300000000001,True
freqmine,8,68.346,True
radix,1,35.709,True
radix,2,17.804,True
radix,4,9.314,True
radix,8,5.745,True
streamcluster,1,652.993,True
streamcluster,2,309.266,True
streamcluster,4,172.962,True
streamcluster,8,120.771,True
vips,1,60.792,True
vips,2,31.549,True
vips,4,16.786,True
vips,8,19.074,True
