#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      254.2    97.9   101.3   161.8   175.3   242.3   272.6   290.3   303.4   318.9   341.6   378.5   466.7  1013.5  4071.3  30008.6    30000  1778292887813  1778292897968
read      256.4   108.7    93.8   162.1   175.6   243.5   274.3   292.2   305.8   321.5   345.2   385.8   478.4  1132.6  4279.2  30088.1    30005  1778292899481  1778292909607
read      264.1   109.0    93.8   163.3   178.4   252.1   285.0   303.8   317.6   335.8   360.2   399.0   486.4  1040.9  3581.6  30024.4    30010  1778292911120  1778292921225
read      257.3   111.7    93.8   161.2   175.3   244.9   276.1   293.8   307.4   322.9   345.3   384.5   470.4  1508.2  4112.8  30104.9    30015  1778292922739  1778292932849
read      256.0   116.9    93.8   161.2   175.2   243.6   274.5   292.4   305.7   320.8   343.6   381.5   466.0  1173.1  4630.0  30031.5    30020  1778292934363  1778292944464
read      255.7    97.2    93.8   160.9   175.1   244.8   275.8   293.6   307.1   322.1   344.8   382.2   463.9   740.1  3416.3  30014.1    30025  1778292945976  1778292956079
read      255.5    91.3    93.8   161.8   175.9   244.8   275.3   293.1   306.5   321.4   343.7   380.2   462.4   746.8  3488.1  30010.1    30030  1778292957592  1778292967696
read      260.6    97.2    93.8   163.0   177.9   249.7   281.6   299.4   313.4   330.2   352.2   389.6   469.0   744.5  3908.2  29961.5    30035  1778292969211  1778292979317
read      254.8   107.3    93.8   161.0   175.0   243.2   274.1   291.7   304.8   319.9   342.7   379.4   462.9   836.9  4290.3  29944.7    30040  1778292980830  1778292990937
read      257.0    94.3    93.8   161.0   175.3   245.8   277.4   295.3   309.2   325.1   346.8   385.6   467.7   758.2  4088.1  30090.9    30045  1778292992451  1778293002559
read      256.4    95.1    93.8   161.8   175.7   245.2   276.5   294.1   307.6   322.7   345.1   383.0   465.3   846.5  3405.2  29977.5    30050  1778293004073  1778293014179
read      251.7   109.5    93.8   163.0   176.1   239.5   269.4   286.4   298.3   314.2   334.9   368.6   455.0   929.5  4320.0  30037.8    30055  1778293015693  1778293025799
read      245.5    90.1   101.3   161.2   173.8   234.6   264.0   280.2   292.3   307.2   325.8   358.4   433.8   661.8  3857.9  30085.9    30060  1778293027313  1778293037425
read      246.8   103.3   101.3   161.7   174.2   234.8   264.2   280.4   292.5   307.5   326.2   358.8   436.0  1006.9  4258.6  30075.3    30065  1778293038939  1778293049044
read      248.1    91.1   101.3   163.2   176.1   237.7   266.7   282.6   293.9   308.6   326.8   358.2   430.9   690.5  3958.9  30110.0    30070  1778293050557  1778293060660
read      248.5    87.6   101.3   162.3   175.2   237.9   267.3   283.6   295.2   310.5   330.2   363.6   440.8   661.4  3200.6  30028.2    30075  1778293062173  1778293072282
read      250.4    83.2   101.3   163.7   176.7   239.8   269.3   286.0   297.3   313.1   333.2   366.0   445.8   723.7  3181.8  30104.0    30080  1778293073796  1778293083896
read      245.7    91.4   101.3   161.4   173.9   234.5   263.6   279.7   291.9   306.8   326.0   359.5   436.7   723.7  3341.2  30049.1    30085  1778293085410  1778293095527
read      252.2   100.8    93.8   163.7   177.1   240.9   270.0   286.7   298.1   313.7   334.2   368.3   456.8   852.8  4191.8  30094.4    30090  1778293097041  1778293107146
read      250.2    88.3    93.8   163.6   176.7   239.0   268.5   285.1   296.5   312.2   332.4   366.2   451.2   715.2  3403.2  30048.2    30095  1778293108663  1778293118766
read      251.6    93.3    93.8   163.4   176.5   239.7   269.5   286.5   298.3   314.2   335.3   370.0   459.2   838.6  4071.7  29996.2    30100  1778293120280  1778293130381
read      247.7   104.3   101.3   161.2   173.8   235.5   265.3   281.7   293.7   309.2   329.1   362.8   446.3   958.5  4194.4  30099.9    30105  1778293131894  1778293141996
read      250.9    96.0   101.3   163.8   176.8   239.7   269.2   286.0   297.5   313.3   333.8   366.8   445.0   708.2  3805.3  30063.5    30110  1778293143510  1778293153615
read      247.1   103.3   101.3   161.3   174.0   235.6   264.9   281.1   292.9   307.8   326.6   359.9   436.5   973.2  4281.8  30192.1    30115  1778293155128  1778293165237
read      251.7   102.4   101.3   162.5   175.7   239.5   270.1   287.6   300.0   315.6   336.7   370.2   451.2   796.6  4150.8  30107.8    30120  1778293166752  1778293176852
read      255.2    85.8    93.8   160.6   175.0   244.5   275.8   293.7   307.3   322.5   345.0   383.6   463.2   634.5  2760.4  30155.2    30125  1778293178365  1778293188468
read      258.0   108.9    93.8   159.4   174.1   246.1   278.2   296.1   310.4   327.0   349.9   389.5   471.5  1023.3  4209.2  30085.9    30130  1778293189981  1778293200082
read      264.7   101.8    93.8   163.0   178.1   253.1   286.3   305.2   318.8   337.3   362.0   400.9   488.2   803.2  3200.5  30056.7    30135  1778293201597  1778293211700
read      263.0    99.0    93.8   162.9   177.8   251.4   284.1   302.6   316.5   334.5   358.6   397.1   480.9   927.0  3408.5  30135.3    30140  1778293213213  1778293223340
read      261.5   101.7    93.8   162.4   177.2   249.6   282.0   300.2   314.4   332.0   355.6   394.5   478.7  1141.3  4005.9  30307.9    30145  1778293224854  1778293234955
read      265.8   103.1    93.8   163.9   179.1   253.4   286.5   305.4   319.2   338.1   363.3   402.3   495.6   967.4  3876.6  30223.8    30150  1778293236468  1778293246571
read      261.3   104.1    93.8   162.0   176.7   249.4   281.8   299.7   313.9   331.2   354.7   393.2   478.7  1159.7  3916.3  30120.7    30155  1778293248084  1778293258187
read      256.0   106.7    93.8   159.4   173.9   244.4   276.5   294.6   308.7   324.8   347.7   388.1   469.6   639.4  4186.0  30190.2    30160  1778293259699  1778293269805
read      260.9    94.9    93.8   162.4   177.1   249.9   282.3   300.4   314.6   332.0   355.3   394.0   471.6   644.2  3663.4  30144.9    30165  1778293271318  1778293281421
read      262.9   101.7    93.8   163.2   178.2   251.5   284.1   302.3   316.0   333.8   357.4   395.3   477.8   944.6  3639.6  30269.8    30170  1778293282933  1778293293034
read      259.6   100.7    93.8   161.0   175.6   248.0   280.3   298.3   312.7   329.8   353.1   393.2   480.7   728.0  3448.0  30156.7    30175  1778293294547  1778293304650
read      254.4    99.6    93.8   159.1   173.6   242.2   273.7   291.7   305.2   320.6   343.9   384.1   471.5   784.1  3911.1  30192.3    30180  1778293306164  1778293316266
read      256.8    93.8   101.3   161.7   176.2   246.1   277.2   294.8   308.4   323.7   345.6   383.2   463.2   688.5  3599.4  30276.3    30185  1778293317780  1778293327884
read      262.2    99.7   101.3   164.5   179.3   251.1   283.1   300.8   314.4   331.4   354.2   392.3   470.1   737.2  3957.1  30174.6    30190  1778293329399  1778293339506
read      263.9   116.2   101.3   164.5   179.3   251.2   283.5   301.5   315.4   333.1   357.3   397.2   486.0  1227.6  4594.6  30317.8    30195  1778293341020  1778293351124
read      266.8    99.4    93.8   164.1   179.4   255.2   288.7   307.9   321.1   340.2   365.2   403.8   491.1   749.2  3864.3  30186.5    30200  1778293352636  1778293362746
read      263.8    96.6    93.8   163.8   178.7   252.3   285.2   304.0   317.8   336.1   360.0   397.9   481.5   730.4  3802.8  30239.2    30205  1778293364259  1778293374362
read      268.1   101.1    93.8   164.5   180.1   256.1   289.7   309.1   323.0   341.8   367.0   405.6   495.9   873.0  3394.3  30118.4    30210  1778293375874  1778293385977
read      267.4   107.0    93.8   162.9   178.4   254.9   288.5   307.9   321.6   340.8   366.2   405.4   500.4  1058.0  4145.1  30292.9    30215  1778293387491  1778293397593
read      269.2   109.3    93.8   163.3   178.8   256.3   290.8   311.0   325.9   345.0   371.2   411.6   501.8   982.1  3429.8  30122.2    30220  1778293399107  1778293409221
read      274.4   108.1    93.8   166.9   183.3   261.8   295.7   315.7   331.3   350.1   376.3   419.4   507.5  1015.7  4217.4  30285.4    30225  1778293410734  1778293420836
read      273.1   102.3   101.3   167.8   183.9   261.3   294.8   314.6   329.7   347.6   373.4   414.5   501.2   817.4  4104.5  30184.0    30230  1778293422347  1778293432450
read      264.7   102.9    93.8   164.3   179.3   253.1   286.0   304.7   318.1   336.3   360.6   399.4   485.3   734.4  3228.9  30161.7    30235  1778293433963  1778293444067
read      261.4   107.4    93.8   163.2   177.9   249.5   281.6   299.3   313.5   330.7   354.3   394.1   481.2   813.6  4365.1  30285.0    30240  1778293445580  1778293455682
read      260.7    95.1    93.8   160.7   175.5   249.3   282.0   300.2   314.4   332.1   356.3   395.8   482.1   821.5  3127.5  30248.2    30245  1778293457194  1778293467300
read      266.2    98.6    93.8   162.4   177.9   254.1   287.8   307.3   321.1   340.4   365.9   404.8   499.6   875.2  3218.9  30217.5    30250  1778293468813  1778293478916
read      266.8    97.8   101.3   165.5   180.9   255.6   288.0   306.5   319.8   338.1   362.6   400.9   485.5   852.8  3562.0  30212.6    30255  1778293480429  1778293490536
read      263.9   105.9    93.8   162.4   177.2   251.4   285.0   304.0   317.8   336.3   360.9   400.0   491.5   967.2  4135.6  30265.4    30260  1778293492049  1778293502154
read      264.7    94.9    93.8   163.2   178.4   253.2   286.5   305.4   319.1   337.6   362.6   402.0   489.7   689.2  3209.9  30301.5    30265  1778293503667  1778293513771
read      266.2   105.8    93.8   163.7   179.1   254.0   287.2   306.4   320.1   339.1   363.8   402.2   490.9  1080.1  4084.9  30224.4    30270  1778293515285  1778293525393
read      269.0   115.1    93.8   165.1   180.6   256.7   289.7   308.8   322.5   341.5   366.9   405.3   495.6  1243.5  4487.4  30231.6    30275  1778293526907  1778293537009
read      266.0    99.7    93.8   163.8   179.1   254.6   288.0   307.1   320.6   339.3   364.0   401.9   488.3   729.7  3673.7  30345.0    30280  1778293538522  1778293548626
read      263.9   103.0    93.8   163.2   178.4   252.3   285.4   304.0   317.4   335.2   358.8   396.6   479.2  1016.4  3809.8  30340.5    30285  1778293550140  1778293560244
read      254.5    94.0    93.8   159.7   174.1   243.4   274.6   292.5   306.0   321.3   344.3   380.9   461.9   725.0  4012.9  30168.2    30290  1778293561759  1778293571863
read      259.3   109.2   101.3   162.3   176.6   247.2   279.0   296.8   311.2   327.9   350.4   389.5   470.8   899.3  4316.2  30229.7    30295  1778293573377  1778293583492
