#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      254.4    97.9   101.3   160.7   173.1   239.9   272.6   291.9   306.2   322.3   345.3   392.2   505.8   813.4  3096.4  29936.9    30000  1778340963819  1778340973961
read      259.6   116.3   101.3   162.6   175.4   242.6   276.0   296.6   312.0   330.2   355.9   403.1   521.0  1181.6  4399.0  29986.0    30005  1778340975471  1778340985607
read      266.7   113.0    93.8   163.7   178.3   253.8   288.0   307.4   320.3   337.5   361.2   402.9   504.9  1306.2  3845.0  30014.8    30010  1778340987117  1778340997231
read      261.7   106.6   101.3   162.7   176.3   248.5   281.9   300.9   314.9   332.0   355.1   398.5   510.4   836.4  3694.3  30084.0    30015  1778340998742  1778341008854
read      262.4   101.7   101.3   162.4   176.6   250.1   283.8   302.6   316.1   332.7   354.9   397.7   501.8   883.5  3678.2  29986.7    30020  1778341010364  1778341020478
read      257.3    93.7   101.3   160.2   173.8   245.3   278.8   297.5   311.6   327.7   348.9   390.8   484.7   850.4  3117.4  30022.5    30025  1778341021989  1778341032099
read      241.5   111.7   101.3   156.7   167.9   227.1   257.3   274.4   288.0   303.6   323.6   363.2   474.2   812.6  4071.8  29995.7    30030  1778341033611  1778341043722
read      242.1   100.1   101.3   157.1   168.4   227.8   257.9   274.8   288.7   304.8   326.0   365.6   478.0   722.8  4166.8  30033.6    30035  1778341045233  1778341055345
read      240.6    93.0   101.3   157.5   168.7   227.1   256.4   273.2   286.7   302.2   321.4   358.1   464.8   742.4  3624.0  29886.3    30040  1778341056856  1778341066966
read      239.1    91.5   101.3   156.6   167.7   225.9   255.6   272.6   285.9   301.0   319.9   354.2   459.8   729.1  3519.7  29964.9    30045  1778341068478  1778341078592
read      241.9    90.2   101.3   157.6   168.9   228.5   258.6   275.4   289.0   304.6   324.5   362.1   468.5   706.8  3045.0  30034.3    30050  1778341080103  1778341090216
read      239.2    94.0   101.3   156.1   167.3   225.4   254.4   271.5   284.6   299.9   319.6   356.7   467.9   907.5  3682.1  29943.8    30055  1778341091727  1778341101845
read      246.0   126.6    93.8   157.7   169.1   229.8   261.3   279.2   292.8   309.4   331.2   371.2   491.8  1374.2  5277.9  30098.4    30060  1778341103355  1778341113466
read      244.1    95.8    93.8   157.3   168.9   229.3   260.3   278.0   291.8   308.3   329.8   370.3   489.8   855.6  3642.2  29947.2    30065  1778341114976  1778341125088
read      244.6    92.8   101.3   158.7   170.1   230.8   261.7   279.1   292.6   309.0   330.2   368.1   475.6   693.9  3315.0  30077.8    30070  1778341126600  1778341136713
read      243.0    97.7   109.4   157.6   168.9   228.7   259.2   276.3   290.0   305.9   326.6   365.5   482.3   771.8  3617.4  30195.6    30075  1778341138225  1778341148338
read      241.1    96.5   101.3   156.5   167.7   227.1   257.1   274.2   287.8   303.5   323.8   363.4   473.4   781.9  3631.2  29988.1    30080  1778341149849  1778341159966
read      241.4    95.1    93.8   157.2   168.4   227.6   257.1   274.1   287.8   303.5   323.4   362.5   473.9   743.0  3767.6  30026.0    30085  1778341161477  1778341171588
read      244.3   110.9   101.3   158.1   169.5   229.2   259.5   277.0   291.0   307.4   328.4   368.4   488.5   939.8  3986.7  30097.8    30090  1778341173100  1778341183211
read      239.1    97.1   101.3   156.8   167.9   225.3   254.1   271.0   283.9   298.6   318.6   354.1   463.6   922.3  3637.2  30035.5    30095  1778341184722  1778341194836
read      242.8   114.2    93.8   157.2   168.7   228.8   259.6   277.0   290.7   306.6   327.0   365.2   471.9   692.4  3815.0  30105.2    30100  1778341196347  1778341206460
read      243.8   109.1   101.3   157.1   168.5   228.2   259.1   276.4   290.3   306.7   328.4   369.3   489.2  1076.5  3727.8  30115.8    30105  1778341207971  1778341218085
read      238.4    97.1   101.3   155.8   167.2   224.7   253.9   271.1   284.1   299.1   319.3   355.3   463.0   759.9  3913.5  30097.0    30110  1778341219596  1778341229706
read      249.1   101.4   101.3   158.1   169.9   233.6   267.1   286.1   299.9   316.7   340.1   384.0   494.7   776.2  4057.7  30184.4    30115  1778341231216  1778341241327
read      257.5   106.8   101.3   158.7   172.1   243.8   277.6   296.8   311.4   328.1   351.0   396.7   501.4   875.4  3769.2  30031.7    30120  1778341242838  1778341252950
read      248.3    99.0    93.8   155.6   168.0   233.9   267.2   286.3   300.0   316.7   339.7   381.6   487.7   762.0  3409.1  30156.5    30125  1778341254462  1778341264571
read      251.1    94.7   101.3   158.0   170.7   236.7   269.8   289.0   303.1   319.2   342.3   386.2   494.0   795.2  3292.9  30119.1    30130  1778341266082  1778341276193
read      249.4   114.7    93.8   156.0   168.7   234.6   267.7   286.5   300.1   316.5   339.3   381.1   489.3   918.8  3755.3  30105.4    30135  1778341277704  1778341287814
read      255.4    94.7    93.8   159.8   173.5   243.8   276.2   294.9   308.6   323.7   344.4   384.6   475.2   772.3  3151.0  30132.9    30140  1778341289324  1778341299435
read      257.5   106.6    93.8   159.5   173.4   244.9   278.1   296.7   310.8   326.9   348.0   391.9   494.0   803.1  3561.6  30224.5    30145  1778341300946  1778341311058
read      255.8    95.6    93.8   158.7   172.3   243.9   277.0   295.8   309.7   325.1   345.9   388.5   488.2   807.9  3225.0  30148.9    30150  1778341312568  1778341322678
read      265.1   108.0    93.8   161.9   175.9   251.9   287.6   307.6   321.0   339.3   364.4   407.9   507.6   789.9  4216.3  30223.1    30155  1778341324189  1778341334299
