#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      256.5    99.5   101.3   159.7   173.8   243.8   276.0   294.5   308.6   324.9   347.8   389.4   482.3   998.2  3209.0  29967.2    30000  1778294216992  1778294227149
read      255.9    96.9   101.3   160.6   174.6   244.4   276.1   294.2   308.2   324.1   346.2   385.1   465.3   781.7  4104.3  29995.2    30005  1778294228663  1778294238791
read      256.5   109.3    93.8   160.7   175.0   244.5   275.8   293.8   307.6   323.2   345.5   384.0   468.0  1075.9  4139.3  30053.2    30010  1778294240304  1778294250409
read      256.1   103.7    93.8   159.7   174.4   244.4   275.8   294.1   307.9   323.5   346.0   384.4   467.5   905.0  3859.4  29924.3    30015  1778294251922  1778294262030
read      258.0    96.4    93.8   162.1   176.6   246.8   278.1   295.8   309.7   325.6   347.5   386.3   468.0   860.0  3360.5  30014.4    30020  1778294263545  1778294273645
read      261.1   105.2    93.8   162.8   177.7   249.6   282.0   300.1   314.1   331.2   354.2   392.1   470.6   724.1  4178.8  30077.9    30025  1778294275158  1778294285259
read      256.0    92.8    93.8   161.6   175.8   244.7   276.0   294.0   307.6   323.0   345.1   383.2   465.5   681.3  3347.0  30004.0    30030  1778294286772  1778294296874
read      256.8   108.5    93.8   161.1   175.3   244.5   275.6   293.4   307.0   322.3   344.9   383.8   468.8  1454.8  4030.1  30101.4    30035  1778294298386  1778294308490
read      256.0   101.1    86.8   160.9   175.1   244.8   275.8   293.7   307.2   322.3   344.5   381.3   462.4   837.3  4206.3  30141.6    30040  1778294310002  1778294320103
read      253.6    90.9    93.8   159.9   174.1   242.3   273.6   291.6   305.0   320.1   342.6   379.2   462.7   675.6  3433.7  30102.8    30045  1778294321616  1778294331721
read      255.7    98.5    93.8   159.6   174.1   244.2   275.6   293.6   307.3   322.9   345.4   383.7   466.7  1044.6  3213.0  30043.1    30050  1778294333234  1778294343335
read      266.6    98.3    93.8   166.2   182.0   255.4   287.6   306.3   319.5   337.5   361.3   398.8   484.7   714.5  3488.8  30015.1    30055  1778294344849  1778294354951
read      260.0    94.9    93.8   162.3   176.9   248.8   281.0   298.8   312.9   329.6   352.3   390.9   471.3   718.4  3675.2  30036.4    30060  1778294356464  1778294366566
read      254.4   102.2    93.8   158.8   173.5   243.4   274.8   292.8   306.1   320.9   343.4   380.2   460.9   824.3  3943.9  30117.2    30065  1778294368079  1778294378181
read      260.5    98.0    86.8   161.5   176.5   249.7   281.9   299.8   313.8   330.9   353.9   391.4   468.9   791.0  3651.2  30126.2    30070  1778294379695  1778294389797
read      259.0   107.1    93.8   159.8   174.9   247.8   280.0   297.9   312.2   329.0   352.1   390.6   471.5   845.0  3838.6  30089.7    30075  1778294391309  1778294401409
read      264.2    97.6    93.8   161.8   176.8   252.4   285.9   305.1   319.0   337.8   362.7   401.3   489.8   903.8  3675.0  30021.0    30080  1778294402923  1778294413035
read      262.5   108.0    86.8   160.4   175.9   250.9   284.0   302.7   316.7   334.6   358.5   396.9   483.0   913.4  4221.4  30102.2    30085  1778294414548  1778294424650
