#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      248.1    98.9    93.8   158.6   172.0   236.0   266.1   283.3   295.7   311.7   332.4   367.4   455.9   935.4  3717.9  30054.1    30000  1778297907831  1778297918040
read      255.6    95.8    93.8   160.9   175.1   244.8   275.6   293.8   307.2   321.8   343.5   379.5   461.8   780.6  3709.5  29866.6    30005  1778297919555  1778297929683
read      250.2    96.6    93.8   158.2   172.4   239.1   269.6   287.2   299.6   315.5   336.9   370.6   453.1   809.3  3694.2  30085.6    30010  1778297931195  1778297941300
read      251.4    87.6    86.8   157.3   171.8   240.7   271.6   289.6   302.6   318.2   340.6   376.1   458.3   685.3  2594.5  30161.8    30015  1778297942813  1778297952922
read      250.5    84.8    93.8   155.8   170.5   239.8   271.0   289.0   302.1   317.7   339.8   374.3   457.8   647.1  2954.7  30029.0    30020  1778297954434  1778297964539
read      249.2    87.9    93.8   158.2   172.1   238.7   269.1   286.4   298.4   314.4   335.4   369.2   447.4   692.5  3083.3  29973.4    30025  1778297966051  1778297976155
read      254.1    88.6    86.8   160.9   175.3   243.5   273.6   291.7   304.9   319.8   341.7   377.5   462.7   639.8  3045.3  30023.5    30030  1778297977668  1778297987772
read      247.8    93.5    86.8   153.9   168.6   236.9   268.0   285.6   298.1   314.2   335.4   369.5   448.8   685.1  3431.9  30048.8    30035  1778297989286  1778297999390
read      260.3   102.0    86.8   162.5   177.3   249.1   281.0   299.1   313.1   329.8   352.2   390.5   471.3   784.9  4193.4  30017.4    30040  1778298000902  1778298011003
read      251.1    94.1    86.8   156.6   171.3   240.1   271.1   289.2   302.3   317.9   339.8   374.7   461.0   660.5  3828.8  30024.8    30045  1778298012515  1778298022617
read      245.5   104.7    93.8   153.3   167.4   233.9   264.5   281.7   294.5   310.7   331.7   367.0   451.6   834.3  3979.8  30131.7    30050  1778298024130  1778298034232
read      253.4    99.7    93.8   156.5   171.3   242.1   273.3   291.7   305.3   320.7   343.3   380.7   465.7   722.6  4123.4  30091.7    30055  1778298035746  1778298045854
read      249.2    97.2    93.8   155.0   169.6   237.6   268.9   286.9   299.8   316.1   338.2   373.8   462.6   663.8  3861.2  30092.8    30060  1778298047366  1778298057473
