#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      251.2    94.8    93.8   152.0   166.6   241.1   273.5   291.4   304.4   319.1   340.1   373.3   473.6   895.8  3532.1  29963.0    30000  1778430517106  1778430527264
read      247.8   110.1   101.3   154.7   167.0   233.7   264.7   281.8   294.2   310.0   331.1   369.7   531.9  1176.6  4072.5  29965.2    30005  1778430528782  1778430538909
read      258.7   125.4   101.3   157.8   171.7   246.2   279.6   297.3   310.8   325.9   345.9   384.9   520.8  1242.3  4397.0  30028.2    30010  1778430540424  1778430550527
read      252.6    91.3   101.3   155.6   169.0   242.3   275.0   292.8   305.8   320.0   341.2   374.6   480.5   810.1  3029.2  29933.7    30015  1778430552041  1778430562140
read      257.5   106.3   101.3   159.3   172.9   247.4   280.3   297.3   310.6   325.2   344.8   378.2   472.1  1176.8  4009.2  29898.8    30020  1778430563655  1778430573754
read      265.4   105.4   101.3   163.0   177.7   255.7   288.9   307.0   319.3   335.8   356.6   391.7   492.6   972.6  4356.5  30004.9    30025  1778430575268  1778430585374
read      250.8   104.2   101.3   160.5   172.9   238.9   270.0   287.3   299.3   314.6   334.8   368.4   471.3   825.6  4295.2  30017.7    30030  1778430586890  1778430596990
read      248.5   120.3   101.3   157.8   169.9   234.4   265.8   283.4   295.9   311.7   332.1   366.9   475.0  1421.1  4792.0  30096.2    30035  1778430598505  1778430608617
read      254.3   108.8   101.3   161.9   174.5   242.6   273.9   290.9   303.1   317.2   337.5   371.3   489.7  1008.0  4291.7  30105.1    30040  1778430610132  1778430620236
read      247.4   113.7   101.3   158.1   170.1   235.5   266.9   283.9   295.4   310.4   329.1   361.6   455.4  1193.2  4150.0  30075.3    30045  1778430621752  1778430631856
read      252.1    90.9   101.3   162.7   175.1   241.2   272.5   290.0   302.3   316.5   335.9   367.2   459.2   765.1  3386.5  30031.3    30050  1778430633372  1778430643479
read      250.7   104.8    93.8   159.1   171.0   239.4   271.2   288.6   300.7   315.6   335.7   368.6   465.0   864.4  4220.1  29968.0    30055  1778430644995  1778430655100
read      255.1   122.3   101.3   163.0   175.7   242.4   273.3   290.5   302.7   316.8   336.9   370.2   495.3  1333.8  4544.1  30069.8    30060  1778430656615  1778430666713
