#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      250.6   101.8   101.3   155.4   168.7   240.3   272.3   289.7   302.1   316.6   336.7   368.8   464.4   988.5  4072.9  29946.0    30000  1778431828738  1778431838895
read      256.6   108.1    93.8   159.5   173.5   246.2   278.4   295.9   309.0   323.2   343.3   375.3   470.7  1009.8  4295.1  30023.7    30005  1778431840411  1778431850539
read      248.7   105.9   101.3   154.9   167.7   237.9   269.5   286.6   298.3   313.4   333.2   366.7   476.0   906.7  3981.6  29985.1    30010  1778431852052  1778431862158
read      252.3   107.2    93.8   156.2   169.3   240.2   271.8   289.7   302.4   317.5   338.6   372.5   497.0  1180.4  4185.7  29949.1    30015  1778431863673  1778431873775
read      252.5    99.1    93.8   157.5   170.9   241.6   273.4   291.2   303.9   318.3   338.5   371.6   483.4   893.4  4071.3  30007.9    30020  1778431875292  1778431885394
read      249.6    96.7   101.3   154.6   167.9   240.3   271.8   289.0   301.0   315.3   334.7   366.5   459.5   973.1  3549.8  30096.0    30025  1778431886910  1778431897014
read      251.4   103.6   101.3   161.5   174.1   240.6   271.3   288.1   299.5   313.6   332.0   362.9   460.9  1055.4  3951.4  29992.9    30030  1778431898528  1778431908629
read      245.5    94.1    93.8   161.5   173.3   235.8   265.0   280.7   292.0   305.4   320.9   347.8   427.9   936.2  3964.6  29966.4    30035  1778431910144  1778431920245
read      243.9    95.0   101.3   159.8   171.4   233.9   262.8   278.4   290.2   303.9   320.5   349.1   434.0   831.2  3875.9  30086.5    30040  1778431921759  1778431931864
read      244.8    96.8    93.8   156.4   168.2   233.5   264.4   281.1   293.2   307.9   326.0   358.4   458.9   933.8  3404.7  29986.6    30045  1778431933379  1778431943481
read      251.7   111.2   101.3   160.2   172.5   240.9   271.8   288.9   300.8   315.1   334.3   366.4   461.5  1130.5  4379.1  30013.1    30050  1778431944994  1778431955095
read      248.8    88.8   101.3   159.7   171.6   238.6   269.8   286.9   298.6   313.4   332.4   363.8   451.2   774.7  3228.4  30063.1    30055  1778431956609  1778431966710
read      246.5   100.7   101.3   156.1   168.0   235.5   267.3   284.5   296.2   311.3   330.4   362.7   451.5   849.0  4133.3  30107.3    30060  1778431968224  1778431978325
read      251.1    90.5   101.3   161.3   174.0   241.3   272.0   289.0   300.7   315.0   334.1   365.2   453.0   783.2  3199.9  30023.8    30065  1778431979841  1778431989946
read      256.6   101.3    93.8   162.1   175.0   245.1   277.4   294.6   307.7   321.7   342.4   376.5   495.0   948.0  3542.9  30065.9    30070  1778431991461  1778432001561
read      251.3   106.9   101.3   160.3   172.5   240.4   271.9   289.5   301.8   316.1   335.4   366.4   455.8  1027.4  4273.7  30071.6    30075  1778432003075  1778432013176
read      249.9    99.2   101.3   156.7   168.8   238.2   270.6   288.5   300.9   316.0   336.5   370.2   473.0   992.6  3623.6  30097.1    30080  1778432014691  1778432024793
read      248.4   101.4   101.3   156.9   169.0   237.4   269.7   287.2   299.1   314.2   333.8   365.8   453.5   833.2  3977.2  30071.1    30085  1778432026309  1778432036409
read      249.2    98.6   101.3   161.8   174.2   239.0   268.9   285.5   296.8   311.5   329.6   359.3   435.4   917.3  4188.8  30086.6    30090  1778432037925  1778432048031
read      256.2    98.2    93.8   158.8   172.0   246.4   280.2   298.1   311.3   326.0   345.2   377.3   462.0   785.7  3689.1  30027.1    30095  1778432049546  1778432059647
read      263.5   110.4   101.3   159.6   174.1   253.1   287.8   306.3   318.9   335.5   356.7   392.8   497.9  1049.6  4157.9  30085.8    30100  1778432061163  1778432071267
read      254.4   109.5   101.3   155.7   169.0   244.2   277.5   295.3   308.6   323.0   343.6   377.2   469.7   848.6  4232.5  30135.0    30105  1778432072783  1778432082894
read      255.9   107.9   101.3   159.6   172.7   245.3   277.3   294.9   308.0   322.1   343.4   379.2   475.4   913.3  3994.3  30051.7    30110  1778432084410  1778432094509
read      300.6   129.6   101.3   167.3   186.1   284.7   327.4   352.3   370.8   394.0   425.1   476.9   617.1  1366.6  4178.6  30086.1    30115  1778432096024  1778432106126
read      303.1   125.1   101.3   173.7   191.8   288.1   330.1   354.3   371.9   394.4   424.0   471.9   606.1  1280.8  3949.6  30066.5    30120  1778432107642  1778432117746
read      299.6   126.1   101.3   173.6   191.3   284.5   325.3   348.9   367.1   389.0   417.6   465.4   591.5  1254.0  4512.9  30043.2    30125  1778432119260  1778432129361
read      306.5   122.6   101.3   174.5   193.7   292.1   333.5   358.0   375.5   398.1   428.1   479.0   604.7  1296.4  4312.8  30075.2    30130  1778432130875  1778432140977
read      320.0   143.1    93.8   181.2   202.5   302.9   345.0   370.0   389.3   412.3   444.4   502.5   651.8  1912.9  4615.4  30182.1    30135  1778432142492  1778432152597
read      305.6   127.1   101.3   174.3   192.6   290.1   332.1   356.7   374.5   397.6   428.4   481.4   617.6  1335.3  4035.7  30190.9    30140  1778432154112  1778432164223
read      300.9   147.7   101.3   173.6   191.0   284.3   324.1   347.2   365.9   388.3   418.3   468.8   601.8  2019.1  5520.9  30134.9    30145  1778432165737  1778432175841
read      249.6    88.6   101.3   154.1   167.3   241.1   273.4   291.1   303.5   317.5   337.0   367.8   448.3   701.1  3045.1  30251.0    30150  1778432177357  1778432187467
read      257.9   103.0    93.8   158.6   172.8   248.5   281.4   298.8   312.0   327.1   346.3   379.7   468.8   833.2  3984.1  30160.7    30155  1778432188982  1778432199083
read      261.4   101.7   101.3   168.6   183.2   251.6   281.7   297.8   310.5   324.0   343.0   372.7   458.0   959.5  4110.2  30223.8    30160  1778432200598  1778432210697
read      257.7   130.7   101.3   161.0   174.2   244.4   276.1   293.8   306.8   320.7   341.1   372.9   467.3  2224.6  4337.9  30200.1    30165  1778432212212  1778432222314
