#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      269.1   117.8    86.8   162.1   178.3   253.8   286.6   306.2   320.6   341.2   369.2   419.2   564.8  1021.3  5132.0  29907.1    30000  1778620230922  1778620241097
read      261.8   143.7    93.8   158.7   174.3   243.0   273.2   291.2   305.1   322.1   348.9   403.6   631.6  1840.4  4305.0  29953.9    30005  1778620242614  1778620252747
read      290.2   224.5    86.8   156.2   172.2   245.0   280.5   303.6   322.6   352.8   408.3   557.7  1127.9  2875.6  6216.5  29995.9    30010  1778620254264  1778620264370
read      259.4   113.7    86.8   158.9   174.7   243.8   273.6   291.6   305.7   322.6   349.3   402.0   576.2  1019.4  4248.4  30062.2    30015  1778620265885  1778620275990
read      269.1   151.0    80.4   156.6   172.9   244.4   276.8   296.9   314.2   337.0   371.7   451.1   705.2  1800.9  4939.7  29996.8    30020  1778620277506  1778620287612
read      263.2   123.8    86.8   158.2   174.4   245.3   276.7   295.7   311.3   331.1   360.7   416.1   599.8  1238.1  4347.7  29980.5    30025  1778620289128  1778620299236
read      263.7   115.7    93.8   161.4   177.0   246.1   276.1   294.4   309.3   327.6   355.7   410.7   622.1  1328.1  4069.1  30058.1    30030  1778620300754  1778620310860
read      265.0   120.3    86.8   160.2   176.0   247.5   279.0   297.4   313.0   332.4   360.9   417.5   610.7  1186.7  4139.5  29994.0    30035  1778620312377  1778620322490
read      263.1   120.2    93.8   160.4   176.4   247.6   278.7   296.7   311.9   330.3   357.3   404.4   556.8  1208.4  4396.2  30069.6    30040  1778620324006  1778620334114
read      256.7   112.4    86.8   157.5   173.9   243.3   273.4   291.3   305.1   321.3   345.5   390.3   508.9  1017.7  4371.7  30121.9    30045  1778620335629  1778620345734
read      253.8   114.8    93.8   158.3   173.5   239.3   269.1   286.9   300.1   317.8   343.3   389.1   510.7   940.7  4321.0  29982.5    30050  1778620347249  1778620357358
read      256.4   117.7    93.8   159.1   174.5   241.8   272.0   290.6   304.8   321.8   347.1   392.8   507.0   872.4  5037.4  29964.4    30055  1778620358876  1778620368990
read      257.3   114.7    86.8   159.8   174.9   241.6   271.0   288.9   302.4   319.4   345.2   394.6   557.4  1336.8  4224.6  29956.3    30060  1778620370506  1778620380618
read      259.7   119.5    93.8   159.1   174.7   243.4   273.9   292.7   307.6   326.1   354.4   405.4   555.2  1035.4  4708.0  30053.2    30065  1778620382136  1778620392242
read      270.1   130.1    86.8   162.9   179.1   252.2   285.0   305.0   320.2   342.0   372.3   427.4   580.6  1338.0  4961.5  30086.2    30070  1778620393759  1778620403870
read      246.0   110.9    86.8   155.2   170.1   232.7   260.8   276.7   290.0   306.2   329.2   370.7   481.9   873.9  4309.7  30187.1    30075  1778620405387  1778620415498
read      254.4   121.9    93.8   156.3   171.7   236.9   266.9   284.7   297.6   316.5   343.8   397.6   572.8  1253.1  4508.3  30107.4    30080  1778620417015  1778620427126
read      248.4   105.2    93.8   155.2   170.3   234.2   263.0   279.5   292.7   309.8   334.0   378.3   511.4   931.2  4224.6  30013.1    30085  1778620428643  1778620438751
read      249.9    99.1    93.8   157.7   173.0   237.8   266.6   283.1   295.1   311.5   334.0   373.5   490.8   744.4  4183.7  30050.0    30090  1778620440267  1778620450383
read      257.8   108.7    86.8   157.7   174.1   243.6   273.5   291.8   306.1   323.2   348.8   397.2   535.1   979.7  4231.2  30161.9    30095  1778620451901  1778620462010
read      249.5   111.7    93.8   155.5   170.5   235.2   264.2   280.9   293.9   311.1   335.3   379.9   506.7  1007.0  4280.8  30084.5    30100  1778620463525  1778620473634
read      271.1   120.3    86.8   161.1   177.6   254.5   288.4   308.7   324.0   344.8   374.5   429.4   580.9  1033.0  4331.4  30050.6    30105  1778620475152  1778620485267
read      277.2   136.1    86.8   160.4   176.9   254.4   289.5   311.5   329.1   352.7   389.1   460.2   683.8  1635.4  4347.8  30041.8    30110  1778620486784  1778620496894
read      256.3   124.2    86.8   155.1   170.7   239.1   270.4   289.0   303.3   321.1   349.5   403.0   569.3  1088.5  4475.1  30011.4    30115  1778620498411  1778620508519
read      258.4   113.9    93.8   157.0   172.7   241.0   272.3   291.4   306.2   324.5   353.2   408.4   581.5  1049.9  4233.5  30040.2    30120  1778620510037  1778620520145
read      283.4   203.1    93.8   156.8   172.0   240.9   276.1   300.3   321.1   355.2   413.5   537.6  1000.3  2488.0  6193.5  30127.7    30125  1778620521663  1778620531775
read      247.0   109.6    93.8   157.2   171.7   234.4   263.1   279.3   291.8   307.5   328.7   367.4   478.3   763.2  4356.2  30137.2    30130  1778620533292  1778620543401
read      248.3   106.5    93.8   157.2   172.3   235.0   263.5   279.6   292.2   308.4   330.6   370.7   492.1  1022.7  4250.6  30207.4    30135  1778620544916  1778620555026
read      252.6   110.4    93.8   157.9   173.2   237.8   267.1   284.3   296.7   314.1   338.1   383.0   536.5  1032.5  4254.1  30035.4    30140  1778620556541  1778620566652
read      247.3    96.0    93.8   155.2   169.9   233.1   262.3   278.9   292.1   309.1   333.6   379.3   517.0   843.2  3151.6  30028.8    30145  1778620568167  1778620578275
read      258.6   114.5    93.8   158.7   174.5   244.1   274.9   293.3   307.7   324.6   349.8   397.3   531.8   985.2  4289.9  30225.1    30150  1778620579792  1778620589900
read      259.1   115.7    86.8   155.5   171.2   243.3   276.1   295.7   311.4   330.8   358.6   405.0   537.9   976.2  4522.7  30217.8    30155  1778620591416  1778620601522
read      267.0   118.2    86.8   161.3   177.7   253.3   286.6   305.8   319.7   338.7   364.1   405.4   535.0   987.5  4837.1  30074.2    30160  1778620603037  1778620613159
read      274.6   131.0    86.8   161.1   178.2   259.6   294.3   315.2   331.4   350.9   378.5   425.7   558.5  1433.5  5195.4  30220.0    30165  1778620614676  1778620624785
