Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1777996494522
Timestamp end: 1777998294839

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      269.0   135.5    93.8   172.5   190.5   255.1   279.3   293.2   303.9   316.3   334.3   365.9   732.4  1477.4  4903.5   6916.6     6927
read      308.4   181.7    86.8   132.6   146.9   280.5   341.3   377.9   405.4   439.0   488.7   575.8   875.8  1896.0  4411.5  52877.2    52892
read      325.9   311.0    80.4   138.4   153.4   263.4   321.9   356.6   383.5   419.9   483.7   679.4  1638.1  3618.5  7579.3  98901.7    98921
read      283.2   148.6    86.8   131.6   145.0   263.8   319.2   348.2   370.3   397.5   434.8   507.1   722.8  1347.9  3427.9  61095.9    61129
read      311.0   162.9    86.8   138.5   154.6   291.9   348.8   382.3   406.2   435.5   475.5   545.4   738.1  1646.5  4005.3  40652.6    40613
read      305.3   170.5    86.8   133.2   147.6   279.8   340.5   377.3   405.0   438.5   486.3   568.5   798.7  1630.5  3632.3  53260.1    53226
read      308.4   156.5    86.8   139.5   155.5   291.6   345.8   377.1   400.2   427.9   464.7   530.0   704.4  1714.5  4008.5  38589.3    38560
read      446.3   613.9    86.8   147.2   167.2   306.9   374.2   419.6   459.7   521.6   628.7  1219.0  3444.1  7113.5  8774.5 103391.7   103465
read      307.3   257.5    80.4   138.9   154.0   261.3   317.3   349.0   373.3   403.7   451.7   568.1  1303.7  3349.6  7505.3 104922.7   104758
read      280.4   175.2    80.4   134.3   148.3   248.0   304.7   335.0   357.2   384.2   421.7   501.7   883.2  1970.2  4341.4  94842.5    94759
read      287.3   122.2    86.8   142.7   158.4   281.9   324.0   345.6   362.7   382.2   408.0   456.4   617.1  1292.3  3219.4  37800.3    37799
read      272.8   138.7    93.8   172.5   190.5   259.1   285.3   299.7   311.6   324.8   344.2   380.4   668.6  1441.0  5796.8   8279.4     8296
read      451.8   674.1    86.8   134.5   149.9   286.4   355.0   401.7   442.7   504.0   632.8  1532.0  3681.1  7364.5  8253.1  69401.3    69443
read      279.6   121.8    93.8   167.4   188.8   270.5   299.2   315.5   327.6   342.1   363.0   396.6   535.8  1385.3  4280.9  12525.3    12517
read      346.3   201.4    80.4   138.3   156.3   318.1   398.6   440.0   468.8   503.9   546.7   614.3   878.2  2063.7  4640.3  43663.6    43591
read      313.0   138.5    93.8   155.5   177.3   301.8   347.1   372.3   390.3   410.3   435.2   480.9   688.2  1497.1  3511.1  20472.2    20430
read      462.4   675.5    86.8   143.5   162.0   295.5   360.9   401.9   438.6   498.9   624.0  1625.2  3687.5  7326.3  8598.1  93686.1    93758
read      257.3   118.9   101.3   169.3   187.6   251.2   273.5   286.3   294.6   305.8   318.6   342.3   412.7  1312.7  5322.3  10468.7    10485
