Random waveform, supplied seed
Total number of intervals = 180 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036)
Average QPS expected = 56542
Timestamp start: 1778011460580
Timestamp end: 1778013260908

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      280.2   170.5   101.3   174.5   193.0   263.0   289.5   305.1   316.7   331.8   350.6   388.5   912.2  1490.1  6824.7   6889.7     6927
read      340.0   234.2    80.4   137.4   153.1   292.6   365.4   413.3   452.8   499.7   564.2   673.7  1103.7  2681.0  6171.3  52871.7    52892
read      360.5   412.1    86.8   144.7   161.7   277.4   339.4   376.2   406.2   450.5   521.9   719.8  2428.1  4538.6  8097.6  98729.8    98921
read      275.9   136.0    86.8   136.7   150.7   258.2   310.6   337.6   356.8   379.2   410.5   470.2   646.6  1364.0  4252.5  61225.1    61129
read      283.3   134.7    86.8   140.1   155.7   271.9   316.3   339.6   356.9   377.2   406.7   465.2   631.5  1507.0  3848.5  40615.9    40613
read      298.9   169.5    86.8   131.9   145.9   271.9   332.3   367.6   395.2   430.7   477.8   552.3   786.3  1684.8  3595.0  53266.7    53226
read      300.5   155.7    86.8   139.5   155.4   281.0   332.1   360.6   381.8   407.9   448.2   515.7   787.7  1752.6  3113.6  38447.5    38560
read      368.7   401.3    74.4   144.9   162.4   282.8   346.8   387.7   421.8   469.6   549.9   784.0  2217.4  4338.1  8013.4 103591.8   103465
read      348.7   330.6    86.8   146.5   163.4   280.5   344.0   383.7   415.9   460.4   530.5   693.4  1805.0  3641.1  7855.5 104815.8   104758
read      293.3   198.6    86.8   137.8   151.8   252.8   309.8   342.0   366.7   397.7   446.9   559.0  1025.4  2301.4  4953.5  94794.2    94759
read      276.2   116.5    86.8   142.1   157.8   270.9   312.3   333.5   347.6   366.4   391.1   433.4   548.5  1006.7  3799.9  37703.0    37799
read      269.4   115.8    93.8   174.4   191.8   258.7   284.2   298.1   310.1   322.7   341.6   372.7   514.2  1352.4  4881.0   8305.6     8296
read      543.5   841.1    86.8   141.7   159.3   294.4   362.6   408.0   454.2   538.8  1119.5  2631.3  4220.1  7727.9  9279.9  69540.8    69443
read      271.0   107.0   101.3   170.7   190.7   263.7   289.6   304.4   315.3   328.9   345.9   376.2   470.5  1296.4  3028.9  12547.5    12517
read      310.0   176.7    86.8   138.3   153.8   284.5   342.4   376.2   401.7   435.0   481.5   556.1   816.4  1897.9  4738.2  43589.9    43591
read      296.6   131.6    93.8   154.1   176.0   282.7   321.6   344.0   361.3   381.9   411.1   465.1   669.4  1443.1  3702.3  20484.6    20430
read      622.6   847.7    86.8   173.4   203.1   371.1   468.0   535.5   597.2   715.7  1232.7  2573.9  4285.2  7844.6  9479.1  93782.2    93758
read      265.9   105.3   101.3   173.9   192.3   259.3   283.4   296.2   307.3   318.9   336.6   364.4   442.3  1267.8  3814.1  10561.2    10485
read      296.6   125.7   101.3   164.4   187.5   283.1   318.3   338.6   353.5   371.4   397.4   446.5   680.0  1586.0  3267.0  16460.5    16518
read      585.6   856.5    86.8   154.8   177.4   322.2   401.0   459.5   514.0   612.3  1348.1  2713.6  4204.3  7775.0  9107.9  83161.1    83230
read      253.5   122.3    93.8   173.8   188.5   244.3   266.0   277.6   287.7   298.0   315.5   341.8   425.2  1354.3  6228.3   5486.4     5484
