Random waveform, supplied seed
Total number of intervals = 450 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330, 64301, 11203, 7291, 87477, 77485, 42055, 26865, 94592, 66869, 17835, 55977, 82437, 15775, 87559, 105401, 88752, 94531, 101303, 86640, 84818, 20221, 43599, 52779, 89855, 48532, 107423, 46535, 47535, 49633, 30334, 17207, 106074, 48912, 96483, 39228, 92350, 85084, 81993, 101617, 16730, 71079, 108942, 55406, 42279, 21876, 34140, 42897, 18462, 100375, 41347, 101594, 47486, 73393, 51134, 58201, 71020, 72071, 93446, 28724, 59269, 74624, 52368, 9687, 44165, 6895, 55457, 61164, 108384, 33319, 97895, 39720, 68554, 86849, 30264, 100754, 98098, 86028, 93054, 42348, 29490, 18187, 95113, 8570, 62285, 52582, 34260, 59493, 58208, 93458, 18056)
Average QPS expected = 58024
Timestamp start: 1778013501860
Timestamp end: 1778015302264

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      266.1   145.7   101.3   169.6   187.3   251.5   274.3   288.6   298.0   311.5   327.7   357.1   756.9  1676.0  7021.1   6921.8     6927
read      345.5   252.1    93.8   138.6   154.1   295.3   371.0   420.2   458.8   505.5   565.0   668.5  1245.0  2739.8  6456.6  52690.8    52892
read      379.9   467.5    86.8   142.4   159.2   275.3   339.3   380.7   416.7   471.6   583.9   858.0  2751.9  5703.0  8063.4  98715.2    98921
read      262.8   113.3    86.8   132.5   145.4   250.0   304.2   329.6   346.2   366.3   391.2   432.4   562.3   871.9  3430.2  61011.5    61129
read      269.7   103.3    93.8   141.1   155.5   268.3   308.4   327.6   340.7   356.6   375.3   409.5   523.1   893.0  2031.8  40580.0    40613
read      298.7   152.2    86.8   134.9   149.0   276.5   334.9   368.3   394.4   427.9   472.0   550.5   742.7  1432.7  2349.9  53235.2    53226
read      289.4   136.5    93.8   141.1   155.8   276.8   324.0   348.8   367.4   389.8   420.9   474.1   679.4  1534.8  2762.0  38494.8    38560
read      470.1   603.0    86.8   153.1   174.9   313.8   387.7   439.0   483.7   546.0   677.6  1567.6  3418.8  6836.6  8133.4 103513.5   103465
read      306.4   278.0    86.8   138.6   153.2   255.2   310.3   341.5   365.3   395.0   439.9   550.3  1505.9  3386.7  7448.4 104831.2   104758
read      278.9   170.4    86.8   135.7   149.2   244.5   299.5   329.7   351.1   377.1   415.2   500.4   939.4  1930.3  3045.9  95014.2    94759
read      269.3   104.7    86.8   142.0   156.6   268.7   306.7   325.1   337.8   352.3   371.9   404.2   507.3   869.4  3196.7  37961.2    37799
read      242.0   107.8   109.4   166.2   183.0   236.3   255.1   266.1   273.0   283.1   294.9   316.1   368.5  1253.3  4255.3   8271.2     8296
read      315.1   226.7    86.8   132.9   146.3   266.2   332.3   372.6   406.4   453.9   517.5   634.3  1234.2  2447.6  4297.7  69380.2    69443
read      262.2   109.5   101.3   166.9   185.5   255.2   279.3   292.8   303.0   315.3   331.7   358.3   463.5  1247.8  5774.1  12351.8    12517
read      290.7   137.5    86.8   138.5   152.3   275.2   326.9   355.1   375.2   400.3   435.4   496.1   709.7  1539.6  2176.2  43616.5    43591
read      276.2   104.5    93.8   156.0   174.2   269.3   301.6   319.2   332.2   345.8   367.0   401.1   533.4  1300.5  2530.1  20470.2    20430
read      365.7   428.5    86.8   139.2   154.7   268.4   331.8   371.6   406.7   463.9   578.6   863.7  2289.5  5214.8  7986.8  93733.2    93758
read      249.9    73.9   109.4   169.7   187.7   246.9   267.1   277.6   286.3   295.0   309.0   329.4   374.3  1103.9  3076.6  10621.8    10485
read      258.0    70.8   101.3   161.5   180.2   257.5   281.2   293.5   302.9   313.9   327.8   347.5   401.7   809.5  2323.2  16492.8    16518
read      317.5   295.7    86.8   134.9   148.8   254.9   316.8   353.1   382.4   425.1   500.8   657.6  1582.2  3443.4  7681.3  83254.0    83230
read      232.8   105.9   101.3   164.3   178.3   227.6   244.7   253.7   261.6   270.3   282.5   302.5   355.3  1243.2  4712.2   5524.2     5484
read      263.9   110.9    86.8   134.4   147.7   254.0   305.5   329.7   345.4   364.1   387.5   426.1   538.7   916.9  2442.7  55739.5    55611
read      278.2   125.3    86.8   156.4   174.3   270.8   302.8   320.0   333.3   347.0   368.4   404.0   547.8  1274.5  5461.1  20837.8    20774
read      389.6   457.3    86.8   143.4   160.4   276.1   339.8   380.9   418.5   480.7   633.8  1082.5  2464.2  5053.9  8025.3  96588.0    96726
read      268.2    91.3    93.8   146.2   161.8   269.0   304.2   321.1   333.9   346.8   366.2   394.8   462.1   683.6  2317.1  32500.5    32442
read      262.4   138.2    86.8   131.5   144.1   242.0   298.8   326.7   345.6   368.1   396.2   445.5   615.2  1068.7  4564.0  73152.2    73039
