Random waveform, supplied seed
Total number of intervals = 258 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375)
Average QPS expected = 57503
Timestamp start: 1778015476138
Timestamp end: 1778017276484

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      256.5   129.9   101.3   163.3   179.6   242.7   266.5   279.8   290.1   302.0   317.9   346.2   706.0  1534.1  4262.3   6898.7     6927
read      352.1   220.7    80.4   137.8   154.1   311.8   405.7   457.1   490.1   527.4   572.9   641.2  1022.6  2357.1  5017.9  52818.9    52892
read      372.8   454.9    86.8   140.2   156.4   271.5   332.5   369.6   400.1   446.3   535.0   917.4  2589.8  5249.1  8079.6  98638.7    98921
read      262.6   112.6    86.8   132.5   145.6   249.8   302.9   328.1   344.7   364.6   389.5   430.7   571.3   943.1  2166.2  61257.3    61129
read      283.1   136.6    86.8   139.3   153.4   270.9   316.4   340.3   358.2   379.2   408.5   466.8   662.2  1485.1  3927.7  40616.7    40613
read      303.2   176.3    86.8   134.5   148.7   273.8   331.9   366.0   392.3   426.7   474.3   564.3   922.2  1853.2  3308.3  53190.4    53226
read      665.8 12386.3    86.8   141.1   157.2   287.0   337.6   366.8   389.8   420.7   468.2   574.1  1384.5  7995.5 609058.7  38619.4    38560
read      464.7   578.2    86.8   154.4   176.7   319.1   394.9   450.8   500.0   569.3   689.6  1446.1  3412.5  6430.5  8362.1 103368.1   103465
read      320.7   246.6    86.8   142.5   158.9   269.5   328.7   364.2   392.1   430.1   493.5   634.3  1324.7  2847.3  6285.1 104958.4   104758
read      287.3   208.4    86.8   135.1   149.0   248.1   305.4   336.5   359.6   388.3   430.6   530.4  1004.2  2548.1  5468.9  94660.7    94759
read      271.9   116.6    86.8   142.2   157.2   266.9   306.2   325.5   339.0   354.9   374.3   413.2   556.4  1418.7  3228.3  37760.3    37799
read      249.1   123.4   101.3   163.9   180.6   240.1   261.3   272.7   282.1   292.9   309.0   336.8   449.0  1367.0  4834.6   8250.1     8296
read      326.5   256.6    80.4   133.3   147.3   271.5   337.6   380.3   417.8   467.6   537.7   676.9  1350.5  2698.4  6936.0  69500.7    69443
read      260.3    84.3   101.3   163.6   182.7   254.9   279.1   292.8   303.2   315.5   332.4   360.1   462.5  1184.4  2332.0  12483.9    12517
read      297.2   157.8    86.8   138.5   152.9   279.3   332.0   361.4   383.4   410.3   449.9   513.7   724.4  1662.6  4526.0  43623.9    43591
read      279.6   109.7    93.8   155.9   175.5   272.3   305.1   322.3   335.8   350.7   371.5   411.1   549.7  1261.9  3103.8  20413.3    20430
read      594.7   846.3    86.8   164.5   190.8   342.7   430.3   497.0   555.7   651.1  1120.5  2582.6  4305.6  7762.3  9589.8  93777.7    93758
read     1284.2 19771.4    93.8   160.3   177.8   239.9   262.0   273.7   283.8   294.6   311.3   339.3   536.0 422422.8 624502.4  10517.4    10485
read      267.5   100.0    93.8   156.8   176.5   259.5   287.8   303.6   315.3   329.5   346.5   381.1   536.0  1341.0  2284.4  16509.1    16518
read      301.0   255.9    86.8   133.1   146.4   249.4   309.7   343.7   370.9   407.1   469.9   597.1  1267.9  3180.3  7561.2  83057.7    83230
read      227.0   116.9    93.8   160.5   174.3   221.4   237.4   247.5   253.8   263.1   273.2   292.4   342.8  1245.5  7563.2   5458.7     5484
read      285.5   151.9    86.8   133.0   146.1   262.7   317.8   348.2   371.7   401.3   445.3   515.8   730.0  1664.9  3518.2  55460.3    55611
read      270.1    99.2    86.8   153.0   170.6   264.3   295.8   313.3   325.4   340.2   360.3   394.1   506.4  1196.7  3700.5  20711.0    20774
read      377.1   421.6    86.8   145.3   162.5   279.4   342.7   385.3   422.9   479.7   592.4   915.7  2263.3  4759.3  8443.2  96947.7    96726
read      266.0   115.8    86.8   146.0   161.0   265.4   300.1   317.2   329.6   343.1   362.1   391.2   462.9   709.9  4225.1  32347.7    32442
read      309.9   249.5    86.8   132.0   145.1   257.1   320.5   359.2   390.9   435.2   500.6   621.6  1305.8  2730.1  7443.9  73061.3    73039
read      322.9   249.6    86.8   133.3   146.8   263.1   331.3   376.6   417.1   470.2   544.2   686.4  1331.4  2428.5  5739.4  74057.9    74055
