Random waveform, supplied seed
Total number of intervals = 360 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330)
Average QPS expected = 57436
Timestamp start: 1778009191142
Timestamp end: 1778010991528

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      288.5   170.6   109.4   179.6   198.2   267.0   293.4   309.4   320.2   335.9   356.8   398.4  1189.5  1895.4  7213.0   6948.2     6927
read      377.5   286.8    86.8   141.1   159.0   315.9   406.6   466.9   509.4   559.8   624.6   743.9  1399.3  3342.5  7701.1  52502.6    52892
read      459.6   607.9    86.8   154.0   175.8   316.1   389.0   438.5   483.1   546.0   660.9  1183.7  3429.2  7370.1  8684.0  98776.2    98921
read      274.2   125.9    86.8   134.2   148.0   257.9   311.5   338.1   356.9   378.9   409.9   469.1   652.6  1132.4  2749.9  61029.8    61129
read      277.9   102.4    86.8   142.2   157.8   273.2   316.5   338.2   353.6   371.4   395.6   435.5   555.4  1046.6  1996.0  40702.8    40613
read      297.5   184.3    80.4   137.8   151.9   274.0   328.0   356.4   376.9   403.3   447.2   529.6   824.3  2253.3  5029.9  53131.6    53226
read      307.9   156.5    93.8   142.2   158.7   288.8   340.2   369.3   391.8   420.7   462.3   533.6   794.8  1698.7  2527.7  38416.8    38560
read      491.4   576.4    86.8   162.0   188.0   349.6   441.3   506.5   560.4   632.7   758.6  1281.8  3391.3  7083.1 10512.4 103351.0   103465
read      363.9   372.9    86.8   147.6   165.6   290.9   356.0   396.7   431.0   478.5   554.4   711.5  2065.8  4417.0  7954.2 104701.0   104758
read      325.1   293.2    86.8   141.7   157.7   271.1   330.0   363.8   390.0   425.1   482.4   618.3  1518.1  3473.0  7861.8  94607.6    94759
read      280.8   130.9    86.8   143.9   160.0   274.8   315.9   337.1   351.7   369.1   393.5   434.5   555.7  1603.8  3390.9  37861.6    37799
read      259.6    96.4   101.3   174.1   190.8   251.4   273.7   287.4   296.3   310.0   326.8   356.3   453.2  1257.0  4032.1   8262.2     8296
read      329.7   283.5    86.8   131.5   145.7   269.1   336.4   379.7   416.6   466.1   533.0   671.2  1513.3  3202.8  7294.7  69251.8    69443
read      272.9   182.7   101.3   168.1   187.6   261.6   288.1   303.1   314.4   328.2   345.6   379.0   524.6  1380.2  9175.1  12527.2    12517
read      313.5   195.4    93.8   138.9   154.7   286.8   344.0   377.4   402.9   436.8   484.7   562.8   891.4  1943.8  4002.2  43683.4    43591
read      290.6   135.4   101.3   159.1   179.4   278.6   313.6   333.2   346.5   364.7   388.8   433.7   629.7  1571.7  4540.8  20369.2    20430
read      443.9   530.5    86.8   147.9   167.3   307.3   382.0   435.1   488.2   572.6   735.6  1367.8  3062.9  6078.6  8101.7  93753.2    93758
read      263.2    93.9   101.3   174.9   193.5   257.6   280.6   293.5   303.3   315.0   330.6   355.2   424.4  1215.4  3883.6  10493.4    10485
read      276.7    94.0   101.3   167.5   188.8   271.3   299.2   314.7   325.7   339.5   357.9   389.4   491.3  1211.8  2372.8  16469.2    16518
read      401.7   480.5    86.8   141.9   159.0   288.7   360.8   411.1   461.1   533.9   652.6  1002.6  2464.8  6187.7  8693.5  83055.0    83230
read      251.9   130.6   101.3   173.7   188.7   242.5   263.6   274.8   285.0   295.4   311.8   338.4   418.1  1376.5  7330.3   5475.8     5484
