2026/05/09 22:53:41 auto-detected memcached PID: 4465
2026/05/09 22:53:41 logging to log20260509_225341.txt
2026/05/09 22:53:45 memcached util=0.01 on 2 cores; batchCores=2 active=false pending=7
2026/05/09 22:53:45 starting freqmine cores=[2 3] threads=2
2026/05/09 22:53:47 memcached util=0.04 on 2 cores; batchCores=2 active=true pending=6
2026/05/09 22:53:49 memcached util=0.02 on 2 cores; batchCores=2 active=true pending=6
2026/05/09 22:53:49 shrinking memcached → 1 core(s)
2026/05/09 22:53:51 memcached util=0.04 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:53:53 memcached util=0.02 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:53:55 memcached util=0.02 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:53:57 memcached util=0.03 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:53:59 memcached util=0.03 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:01 memcached util=0.02 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:03 memcached util=0.02 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:05 memcached util=0.02 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:07 memcached util=0.03 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:09 memcached util=0.03 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:11 memcached util=0.02 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:13 memcached util=0.01 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:15 memcached util=0.01 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:17 memcached util=0.02 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:19 memcached util=0.03 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:21 memcached util=0.01 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:23 memcached util=0.02 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:25 memcached util=0.02 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:27 memcached util=0.01 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:29 memcached util=0.03 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:31 memcached util=0.01 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:33 memcached util=0.02 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:35 memcached util=0.01 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:37 memcached util=0.02 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:39 memcached util=0.02 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:41 memcached util=0.01 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:43 memcached util=0.02 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:45 memcached util=0.02 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:47 memcached util=0.01 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:49 memcached util=0.02 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:51 memcached util=0.01 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:53 memcached util=0.02 on 1 cores; batchCores=3 active=true pending=6
2026/05/09 22:54:55 memcached util=0.02 on 1 cores; batchCores=3 active=true pending=6
