Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1778400867171
Timestamp end: 1778402667478

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      238.2    91.3    86.8   156.2   169.6   228.4   255.2   270.2   281.2   294.1   312.0   340.0   408.5  1094.1  3141.5   6939.9     6927
read      288.1   144.1    74.4   126.4   141.0   271.9   334.4   366.8   389.9   416.7   452.1   511.7   668.6  1117.8  3230.1  52813.3    52892
read      345.4   171.4    74.4   145.2   168.0   315.8   387.8   430.0   461.5   498.9   548.1   637.8   897.5  1233.7  3314.7  98895.1    98921
read      279.7   126.4    74.4   126.7   141.8   266.5   327.6   359.1   381.3   405.2   435.4   482.4   578.6   786.9  3049.2  61244.7    61129
read      279.4   105.6    74.4   132.9   148.5   279.1   326.6   350.2   367.6   387.4   411.1   448.5   528.1   664.4  1886.7  40590.0    40613
read      280.6   126.0    74.4   128.8   143.7   271.8   329.4   358.6   378.9   401.5   430.3   471.9   565.3   744.9  3019.0  53133.3    53226
read      281.9   114.9    80.4   134.7   150.6   281.9   327.9   351.0   367.9   387.6   411.3   448.3   530.1   684.8  2363.1  38623.4    38560
read      401.6   210.4    74.4   157.0   185.4   365.5   451.1   496.5   530.5   575.2   649.7   823.1  1047.7  1252.2  3950.9 103468.0   103465
read      388.1   196.2    74.4   155.6   183.4   354.1   435.7   480.8   513.9   556.7   623.8   763.2  1002.4  1187.2  3461.7 104931.0   104758
read      306.2   142.3    74.4   136.6   155.7   286.6   346.7   383.0   409.2   440.5   481.1   542.9   683.2   978.0  3322.0  94736.6    94759
read      283.2   107.9    74.4   135.5   151.6   284.0   330.1   353.4   370.0   389.9   413.7   449.6   524.8   649.8  2368.1  37798.7    37799
read      240.4    97.9    80.4   161.1   175.2   232.4   256.7   270.3   280.0   291.6   307.3   332.5   395.0  1112.4  3855.7   8288.0     8296
