Random waveform, supplied seed
Total number of intervals = 360 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330)
Average QPS expected = 57436
Timestamp start: 1778409418764
Timestamp end: 1778411219146

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      246.9   111.3    93.8   155.3   172.4   237.3   264.0   278.2   289.6   302.8   319.6   351.7   419.4  1244.4  5040.8   6929.0     6927
read      321.1   198.0    80.4   129.7   145.0   290.9   362.8   402.0   433.8   476.6   536.8   629.9   825.5  1962.2  5440.2  52767.8    52892
read      319.1   146.4    80.4   141.6   161.9   297.8   360.7   397.5   425.4   459.1   502.4   570.9   732.3  1003.9  3222.4  98977.6    98921
read      277.3   119.8    74.4   127.1   141.7   264.7   326.7   358.5   379.5   402.3   431.8   476.3   567.6   720.5  2509.5  60960.6    61129
read      284.4   110.6    80.4   135.2   151.0   283.9   332.5   357.9   374.3   394.0   418.4   456.2   535.0   690.3  2814.8  40817.4    40613
read      280.1   114.6    74.4   129.4   144.3   273.3   330.0   359.1   378.3   400.1   427.8   469.2   552.6   743.9  1949.0  53139.2    53226
read      283.9   112.1    80.4   135.6   151.5   285.0   330.9   355.3   371.4   390.8   414.3   451.2   527.3   656.1  3028.3  38513.8    38560
read      392.9   200.6    74.4   154.9   182.1   356.3   439.8   488.4   524.8   571.6   638.2   776.0  1043.0  1270.2  2480.4 103594.2   103465
read      360.4   177.6    80.4   150.4   174.6   329.4   404.7   448.7   480.0   518.2   573.8   681.9   926.5  1145.0  3301.8 104615.6   104758
read      294.5   129.2    74.4   134.7   152.5   276.1   335.0   369.0   394.3   425.1   464.0   521.5   635.1   831.9  2022.0  94910.2    94759
read      286.7   111.3    80.4   137.6   153.2   287.9   333.5   357.6   373.3   392.5   416.3   454.0   534.2   730.6  2851.7  37639.8    37799
read      253.5   103.8    86.8   166.4   183.5   246.9   270.2   283.5   293.0   305.2   319.8   349.0   423.2  1095.6  4698.8   8286.2     8296
read      278.2   129.5    74.4   126.7   141.5   261.5   324.1   357.6   380.3   405.4   437.8   490.1   588.8   750.5  3157.4  69248.4    69443
read      256.0    84.7    86.8   159.7   179.4   253.5   277.2   290.7   299.9   312.5   328.3   355.8   414.4   681.8  3216.1  12536.2    12517
read      284.7   112.9    74.4   133.3   149.2   283.4   334.9   361.2   378.7   398.4   423.9   462.3   542.0   688.6  1857.2  43697.2    43591
read      272.3    90.0    80.4   148.4   168.1   273.0   303.9   319.7   333.4   348.2   367.9   396.7   459.6   589.1  2697.4  20462.0    20430
read      290.3   137.8    74.4   132.3   149.7   271.0   329.5   363.5   388.2   417.4   455.8   511.8   634.4   974.5  3834.4  93727.6    93758
read      252.3    82.2    86.8   159.4   178.3   247.4   272.0   285.8   295.0   308.0   323.4   353.9   423.6  1076.9  2939.7  10478.4    10485
read      266.8    86.2    86.8   153.1   174.4   264.4   292.8   308.6   319.0   335.0   354.8   384.9   456.8   675.8  2861.9  16360.6    16518
read      275.8   119.5    74.4   126.7   141.9   258.5   317.7   350.7   373.9   401.1   435.4   489.0   588.4   754.6  1917.7  83054.6    83230
read      232.5   115.6   101.3   157.1   172.3   224.2   243.8   254.9   264.6   274.3   289.7   313.9   393.9  1181.1  6106.0   5484.0     5484
