Random waveform, supplied seed
Total number of intervals = 180 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036)
Average QPS expected = 56542
Timestamp start: 1778411400258
Timestamp end: 1778413200580

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      247.6    87.4    93.8   160.8   176.3   238.8   265.0   279.3   290.0   302.9   320.9   351.6   427.2  1107.1  3013.6   6913.1     6927
read      297.1   170.4    74.4   128.3   143.5   280.0   341.9   374.4   398.1   427.1   465.5   527.3   670.8  2232.8  4597.9  52773.6    52892
read      312.9   151.2    74.4   136.5   155.2   287.8   351.2   388.6   416.9   452.1   498.0   572.5   812.7  1148.2  2457.1  98866.4    98921
read      278.1   120.3    74.4   128.1   142.9   266.3   325.5   356.0   376.5   400.3   431.1   479.0   576.1   731.8  2561.1  61199.5    61129
read      279.4   110.5    74.4   134.6   150.2   279.0   325.4   349.1   365.7   384.8   407.9   445.5   523.7   648.6  2346.3  40671.2    40613
read      279.6   122.6    74.4   129.8   144.6   270.9   327.4   356.2   375.2   398.0   427.4   470.8   561.1   777.3  3190.6  53206.4    53226
read      280.3   113.2    80.4   135.7   151.3   280.2   325.5   348.9   365.1   383.5   405.3   442.0   519.2   683.2  3459.3  38676.2    38560
read      332.1   166.8    74.4   140.8   161.8   301.5   371.0   413.2   445.3   483.5   534.5   623.9   878.2  1174.5  2972.1 103558.8   103465
read      383.0   212.8    74.4   147.2   171.5   339.9   427.2   477.0   514.6   563.1   636.5   791.4  1067.9  1343.9  4091.0 104751.0   104758
read      304.6   142.4    74.4   134.5   152.5   282.8   344.4   380.3   406.9   440.0   484.5   552.0   722.2  1015.7  2788.2  94686.4    94759
read      282.5   109.9    74.4   136.7   152.4   282.2   328.5   352.4   368.3   387.2   410.1   447.4   524.0   662.1  3081.0  37789.5    37799
read      247.4   136.5    93.8   163.9   179.1   239.5   263.2   275.2   285.3   295.4   312.2   339.1   401.0  1160.9  7353.6   8308.9     8296
read      277.2   122.2    74.4   126.5   141.4   260.6   322.2   356.0   378.7   404.3   438.2   489.9   585.5   733.2  2403.6  69414.3    69443
read      252.2    96.9    86.8   157.6   176.1   247.2   272.4   286.3   295.5   309.4   326.6   354.7   416.8  1095.7  3978.7  12540.3    12517
read      279.3   108.1    74.4   132.8   148.2   277.3   327.2   353.2   370.5   390.9   416.0   454.9   531.5   641.9  1785.4  43598.0    43591
read      267.9    87.6    86.8   148.0   167.7   266.8   296.6   314.3   327.1   342.3   361.9   391.1   458.1   602.5  2525.0  20429.5    20430
read      295.5   139.5    74.4   132.0   149.5   275.1   335.6   370.1   395.9   427.9   468.5   532.9   675.6   946.8  3463.2  93666.1    93758
read      249.6   103.1    86.8   160.9   177.6   243.0   267.3   280.5   290.3   302.0   319.0   346.7   413.9  1143.7  4051.9  10457.0    10485
read      263.7    94.5    86.8   153.1   173.6   260.6   288.7   304.1   316.0   331.1   349.5   378.9   450.1   665.6  3199.8  16540.5    16518
read      281.4   133.4    74.4   127.6   143.1   262.7   322.6   356.6   380.4   408.5   445.8   501.1   611.3   870.6  3923.3  83272.7    83230
read      233.6   105.4    93.8   160.8   173.4   224.6   244.7   256.3   266.1   276.1   291.6   317.5   398.7  1188.1  4032.1   5524.3     5484
read      278.8   121.7    80.4   128.2   143.0   269.0   327.5   357.9   378.0   400.9   430.6   474.1   562.5   724.6  2525.3  55492.3    55611
read      269.4   109.3    80.4   148.0   167.2   268.3   297.9   315.3   328.1   343.1   363.3   393.3   462.0   666.4  3423.3  20782.8    20774
