Random waveform, supplied seed
Total number of intervals = 258 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375)
Average QPS expected = 57503
Timestamp start: 1778418793997
Timestamp end: 1778420594337

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      254.0   109.6   101.3   164.0   179.5   243.7   269.9   285.3   296.0   311.7   331.4   361.9   433.4  1227.6  4134.8   6865.7     6927
read      307.8   159.3    80.4   131.1   146.7   282.7   351.2   388.6   417.1   454.4   504.0   585.9   747.2  1231.8  3799.5  52777.0    52892
read      314.1   135.4    74.4   141.2   161.3   294.1   356.3   392.7   420.2   452.8   493.6   554.6   699.0   941.8  1871.5  98914.6    98921
read      281.5   125.4    74.4   130.7   145.9   266.9   329.8   361.5   383.2   407.4   439.0   484.6   572.7   716.3  2933.4  61147.9    61129
read      281.5   107.8    74.4   137.1   152.6   279.4   328.7   352.9   369.2   388.6   412.3   450.0   524.0   640.6  2356.8  40569.0    40613
read      283.6   152.8    74.4   132.0   147.5   271.9   331.5   360.9   380.8   402.8   432.0   473.2   559.9   814.9  5886.3  53103.0    53226
read      284.8   108.8    80.4   138.8   154.7   282.8   330.5   354.2   370.4   389.5   412.7   451.9   536.9   768.2  2884.2  38483.4    38560
read      366.5   171.6    74.4   157.1   183.4   339.8   412.4   455.1   485.6   521.7   571.3   663.2   907.2  1129.8  3963.7 103486.4   103465
read      418.1   199.7    80.4   172.1   205.5   388.2   467.7   510.6   544.3   588.9   660.9   797.7  1018.2  1209.6  3933.2 104653.9   104758
read      300.1   137.0    74.4   136.2   154.3   280.3   341.3   376.2   401.6   433.0   471.5   531.1   666.7   936.5  2807.7  94784.0    94759
read      280.9   107.4    74.4   132.7   148.7   280.8   328.6   352.1   368.2   387.0   409.6   448.6   526.0   741.9  2251.4  37904.9    37799
read      246.8   118.9    86.8   163.0   178.6   238.6   261.7   274.1   284.5   295.4   313.8   342.2   406.3  1166.4  5024.1   8326.9     8296
read      279.6   124.4    74.4   126.4   141.3   262.6   325.4   359.0   382.2   408.9   444.9   496.7   595.3   766.6  2150.7  69584.9    69443
read      257.3    91.1    86.8   158.3   177.8   252.6   278.1   292.2   303.1   316.8   335.5   364.1   429.7  1108.7  3949.1  12588.7    12517
read      282.8   118.5    74.4   132.2   147.7   279.9   333.2   358.8   375.5   395.9   422.2   462.0   540.3   682.6  3113.9  43545.4    43591
read      278.1    99.1    86.8   147.9   168.7   277.5   310.9   329.8   342.7   358.7   377.1   408.3   479.6   628.6  2647.7  20576.9    20430
read      314.6   140.4    74.4   139.3   158.9   295.4   358.3   394.6   422.3   455.6   497.1   558.3   690.6   903.6  2048.7  93763.0    93758
read      258.3   103.9    86.8   163.5   182.2   252.3   277.4   291.6   302.2   315.8   334.4   362.5   426.7  1062.9  4872.2  10502.9    10485
read      265.6   103.4    80.4   153.0   174.5   262.7   291.3   308.0   319.7   334.6   352.0   379.0   441.6   686.0  3976.5  16615.6    16518
read      276.9   120.2    74.4   126.1   141.4   258.9   319.5   353.0   376.1   403.6   440.0   494.5   593.9   776.1  1554.7  83126.3    83230
read      241.8   123.5    80.4   163.1   176.6   231.7   253.7   267.0   275.6   288.3   304.4   333.8   402.7  1323.4  6999.7   5492.3     5484
