Random waveform, supplied seed
Total number of intervals = 225 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412)
Average QPS expected = 58238
Timestamp start: 1778414676370
Timestamp end: 1778416476702

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      245.2   120.7    93.8   161.0   174.9   234.3   259.8   274.0   285.7   298.1   317.7   347.5   427.4  1168.8  7146.2   6866.9     6927
read      290.9   153.6    74.4   129.6   144.6   275.2   335.7   367.5   390.1   417.4   454.2   513.7   680.7  1038.1  4893.3  52801.4    52892
read      305.8   136.3    74.4   137.9   157.0   285.3   344.9   380.7   407.2   440.6   481.6   543.6   686.0   939.2  2558.2  98857.8    98921
read      280.4   126.7    74.4   128.2   143.0   266.3   327.1   359.0   380.5   404.7   439.0   487.3   586.5   772.5  2941.8  61335.1    61129
read      281.2   159.3    80.4   135.2   150.8   278.9   326.7   350.7   366.9   385.9   408.9   448.6   528.6   736.1  2968.2  40550.0    40613
read      279.9   122.4    74.4   129.6   144.6   271.4   328.6   357.2   376.3   398.5   428.1   470.3   559.1   716.2  3453.8  53212.1    53226
read      277.3   107.7    74.4   134.2   149.9   276.7   320.7   343.5   360.1   378.4   401.5   440.5   521.9   680.4  2548.7  38621.8    38560
read      344.5   166.3    74.4   146.4   169.2   314.4   385.4   428.2   459.4   496.6   546.3   639.8   893.3  1135.3  2891.2 103483.0   103465
read      312.7   137.6    74.4   143.0   163.8   292.3   351.2   387.1   414.0   447.0   487.9   547.8   687.9   941.4  2911.2 104854.6   104758
read      292.4   134.0    74.4   134.0   151.8   273.3   330.7   364.4   389.6   420.5   459.4   516.3   639.1   900.8  3660.4  94635.4    94759
read      277.7   112.0    74.4   135.7   151.6   276.7   320.2   342.7   358.9   376.7   399.9   437.2   517.4   693.7  3459.6  37712.0    37799
read      234.0    99.8    93.8   158.5   172.4   227.0   247.6   259.4   268.5   278.8   293.3   320.1   389.6  1148.6  3830.6   8247.9     8296
read      277.6   126.9    74.4   127.3   142.1   261.2   321.9   355.3   377.8   403.6   438.5   488.8   584.1   741.7  3313.9  69340.1    69443
read      250.6    87.4    86.8   158.4   176.9   245.6   270.2   283.8   293.2   306.4   323.9   352.2   413.6   997.8  3089.3  12480.1    12517
read      280.6   112.9    74.4   133.3   148.6   278.1   329.2   354.5   371.2   391.2   416.2   455.0   531.4   672.7  3275.5  43532.4    43591
read      265.9    83.9    86.8   148.0   167.3   264.5   294.0   311.7   324.3   339.7   358.8   387.1   449.4   591.9  2594.3  20381.6    20430
read      298.0   139.1    80.4   135.4   153.4   278.8   338.0   372.4   398.4   430.4   468.8   526.4   641.7   875.6  3769.8  93772.2    93758
read      245.6    82.9    86.8   160.0   176.9   239.5   262.8   275.0   285.4   296.0   314.6   342.3   404.0  1118.2  2814.7  10512.4    10485
